frequency_hz,eq_detail_db,eq_faithful_db,pipeline_version,smoothing
23.87553283428873,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
23.915841874905773,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
23.956218969239846,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
23.99666423218598,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.037177778833183,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.07775972446476,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.11841018455866,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.159129274787787,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.199917111020337,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.24077380932012,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.281699485946913,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.322694257356755,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.363758240202312,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.404891551333183,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.44609430779625,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.48736662683601,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.528708625894897,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.570120422613623,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.611602134831514,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.653153880586842,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.694775778117172,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.736467945859694,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.778230502451514,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.820063566730077,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.86196725773345,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.903941694700666,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.945986997072076,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
24.98810328448967,-0.5308070797623163,-0.37910869938629077,V16.0-faithful,none
25.03029067679745,-0.5307797348794804,-0.3790813545034548,V16.0-faithful,none
