setup,preset,region,rmse,mae,bias,p95,max,median_uncertainty
Híbrido,new_balanced,Subgraves,0.062238293574971425,0.05140552637850307,0.04121282868166944,0.12124990821699005,0.12643715000151268,0.088350102304048
Híbrido,new_balanced,Graves,0.5871925706153155,0.47164258264749803,-0.45756909035388843,0.9696534870254016,0.9870135798119737,0.0855126218998353
Híbrido,new_balanced,Medios,0.7084924565652252,0.6498510166465319,0.17722358775399805,0.9611452390232462,0.986560312126489,0.08312025713045515
Híbrido,new_balanced,Presencia,0.6185908001777827,0.5619132377385311,-0.5343115670625525,0.8485949815402078,0.8644046555190936,0.17018724544927627
Híbrido,new_balanced,Brillo,0.7230722634446209,0.5889660220077647,0.4844322023106801,1.3174823599142624,1.5687570693717312,0.1655107682780324
Híbrido,new_subgrave,Subgraves,0.032894628540671336,0.029350138853237326,0.008628323156692812,0.05668185739730803,0.06154387014930318,0.088350102304048
Híbrido,new_subgrave,Graves,0.7872039105034373,0.6518159154765423,-0.651471759779958,1.274683795603989,1.3013627575981053,0.0855126218998353
Híbrido,new_subgrave,Medios,0.6995664603033989,0.5830125506319794,-0.18112684112897312,1.2882562919541076,1.30149409814614,0.08312025713045515
Híbrido,new_subgrave,Presencia,0.7926510530523807,0.7458584542687139,-0.7458584542687139,1.0367064534390602,1.082475712976894,0.17018724544927627
Híbrido,new_subgrave,Brillo,0.7014091847307825,0.5677365010584966,0.43180436494402447,1.2870922056286487,1.5401557844785856,0.1655107682780324
Híbrido,new_global,Subgraves,0.12623639090815184,0.09597268417513431,0.012848105107057112,0.30305002963685207,0.35377085731304136,0.088350102304048
Híbrido,new_global,Graves,0.0875688211030219,0.059609902727322764,-0.04850235773881872,0.18644507200052085,0.21505606970661262,0.0855126218998353
Híbrido,new_global,Medios,0.3172098256713005,0.27219140371101874,0.15770654622637217,0.5300330167339489,0.5347349119437599,0.08312025713045515
Híbrido,new_global,Presencia,0.8381850698852475,0.8048325931520397,-0.8048325931520397,1.087278794668584,1.1283258958484463,0.17018724544927627
Híbrido,new_global,Brillo,1.1378500667526517,0.9279021956931622,0.8385551339189773,2.0821193544482246,2.3925304096902487,0.1655107682780324
Guitarra,refined_previous,Subgraves,0.08569120603333315,0.07239931827906902,-0.06975234270423797,0.13057966791139997,0.13202501249596654,0.0883988466376854
Guitarra,refined_previous,Graves,0.21594589955645563,0.17983484588413895,-0.17942528187445214,0.3708665261047538,0.399650909672399,0.0859086040703356
Guitarra,refined_previous,Medios,0.40661343117487214,0.36353486506520316,0.1452464074538687,0.6378382944766385,0.640956053475934,0.0834383031580304
Guitarra,refined_previous,Presencia,0.6002022036339767,0.5495010804041208,-0.5493335196741101,0.9230387659651579,0.9509832044698516,0.14423111834837815
Guitarra,refined_previous,Brillo,0.8896226891214155,0.7500022386754772,0.6960257758936952,1.576060111728227,1.7423731156086237,0.1750357910085287
Guitarra,point_30hz_previous,Subgraves,0.1073103466952724,0.06978497399820391,0.032322191275061245,0.2890192061736067,0.3379808159071982,0.0883988466376854
Guitarra,point_30hz_previous,Graves,0.13039682337581393,0.11883068708505887,-0.11883068708505887,0.2211453802690532,0.2517092354407575,0.0859086040703356
