setup,band,center_hz,gain_db,frequency_hz,contribution_db
Bajo,1,30,16.0,30.73306527665107,11.999054568472147
Bajo,1,30,16.0,30.844216508158816,11.998750639720104
Bajo,1,30,16.0,30.955769736543687,11.99840440662969
Bajo,1,30,16.0,31.067726415694107,11.99801586263618
Bajo,1,30,16.0,31.18008800475674,11.997585000375782
Bajo,1,30,16.0,31.29285596815549,11.997111811686603
Bajo,1,30,16.0,31.40603177561057,11.996596287609723
Bajo,1,30,16.0,31.51961690215773,11.996038418390334
Bajo,1,30,16.0,31.63361282816739,11.995438193479036
Bajo,1,30,16.0,31.748021039363987,11.994795601533193
Bajo,1,30,16.0,31.862843026845336,11.994110630418412
Bajo,1,30,16.0,31.97808028710205,11.993383267210138
Bajo,1,30,16.0,32.09373432203703,11.992613498195324
Bajo,1,30,16.0,32.209806638985086,11.991801308874228
Bajo,1,30,16.0,32.32629875073255,11.990946683962312
Bajo,1,30,16.0,32.443212175536964,11.990049607392226
Bajo,1,30,16.0,32.56054843714696,11.989110062315923
Bajo,1,30,16.0,32.678309064821995,11.988128031106864
Bajo,1,30,16.0,32.7964955933524,11.987103495362316
Bajo,1,30,16.0,32.9151095630793,11.986036435905783
Bajo,1,30,16.0,33.03415251991472,11.984926832789506
Bajo,1,30,16.0,33.153626015361745,11.9837746652971
Bajo,1,30,16.0,33.273531606534725,11.98257991194627
Bajo,1,30,16.0,33.393870856179575,11.98134255049165
Bajo,1,30,16.0,33.51464533269412,11.980062557927717
Bajo,1,30,16.0,33.63585661014858,11.978739910491852
Bajo,1,30,16.0,33.75750626830606,11.977374583667462
Bajo,1,30,16.0,33.87959589264312,11.975966552187234
Bajo,1,30,16.0,34.00212707437047,11.97451579003648
Bajo,1,30,16.0,34.12510141045371,11.97302227045659
Bajo,1,30,16.0,34.24852050363412,11.971485965948578
Bajo,1,30,16.0,34.37238596244956,11.969906848276759
Bajo,1,30,16.0,34.49669940125543,11.968284888472493
Bajo,1,30,16.0,34.62146244024572,11.966620056838057
Bajo,1,30,16.0,34.74667670547412,11.964912322950616
Bajo,1,30,16.0,34.87234382887522,11.963161655666294
Bajo,1,30,16.0,34.99846544828576,11.96136802312434
Bajo,1,30,16.0,35.12504320746599,11.95953139275142
Bajo,1,30,16.0,35.2520787561211,11.957651731265992
Bajo,1,30,16.0,35.3795737499227,11.955729004682789
Bajo,1,30,16.0,35.507529850530425,11.9537631783174
Bajo,1,30,16.0,35.635948725613574,11.951754216790976
Bajo,1,30,16.0,35.76483204887283,11.949702084035003
Bajo,1,30,16.0,35.894181500062146,11.94760674329621
Bajo,1,30,16.0,36.02399876501051,11.945468157141574
Bajo,1,30,16.0,36.15428553564404,11.943286287463389
Bajo,1,30,16.0,36.28504351000797,11.941061095484498
Bajo,1,30,16.0,36.41627439228881,11.938792541763588
Bajo,1,30,16.0,36.54797989283652,11.936480586200592
Bajo,1,30,16.0,36.680161728186846,11.934125188042197
Bajo,1,30,16.0,36.812821621083664,11.931726305887462
Bajo,1,30,16.0,36.945961300501416,11.929283897693526
