frequency_hz,eq_copy_db,source_variant,smoothing,pipeline_version
132.29481282460293,-0.6088419417175676,v17_v15w_weighted_all,none,V17.0-operative
134.09223269670818,-0.2790415784611392,v17_v15w_weighted_all,none,V17.0-operative
135.91407316496287,-0.2360369752350112,v17_v15w_weighted_all,none,V17.0-operative
137.76066601913138,-0.2346037452178038,v17_v15w_weighted_all,none,V17.0-operative
139.63234755683104,-0.232966768358086,v17_v15w_weighted_all,none,V17.0-operative
141.5294586447775,-0.2311687935896282,v17_v15w_weighted_all,none,V17.0-operative
143.45234478086272,-0.2291949292986553,v17_v15w_weighted_all,none,V17.0-operative
145.40135615707646,-0.2264447514473804,v17_v15w_weighted_all,none,V17.0-operative
147.37684772328228,-0.2231813408591138,v17_v15w_weighted_all,none,V17.0-operative
149.3791792518605,-0.2227271766912661,v17_v15w_weighted_all,none,V17.0-operative
151.40871540322902,-0.2222521003981748,v17_v15w_weighted_all,none,V17.0-operative
153.46582579225466,-0.2217198879014414,v17_v15w_weighted_all,none,V17.0-operative
155.55088505556648,-0.2105241736998705,v17_v15w_weighted_all,none,V17.0-operative
157.6642729197839,-0.2055749752381396,v17_v15w_weighted_all,none,V17.0-operative
159.80637427067182,-0.2002990263328034,v17_v15w_weighted_all,none,V17.0-operative
161.97757922323498,-0.1946712945803793,v17_v15w_weighted_all,none,V17.0-operative
164.1782831927651,-0.1291336632070596,v17_v15w_weighted_all,none,V17.0-operative
166.4088869668529,-0.0685198122191375,v17_v15w_weighted_all,none,V17.0-operative
168.66979677837904,-0.0500907892424482,v17_v15w_weighted_all,none,V17.0-operative
170.9614243794956,-0.0438075086944826,v17_v15w_weighted_all,none,V17.0-operative
173.28418711661465,-0.0320632096958932,v17_v15w_weighted_all,none,V17.0-operative
175.63850800641362,-0.0136998257256588,v17_v15w_weighted_all,none,V17.0-operative
178.0248158128746,0.0318336058905853,v17_v15w_weighted_all,none,V17.0-operative
180.44354512536984,0.0492477097150575,v17_v15w_weighted_all,none,V17.0-operative
182.89513643780825,0.0673745552565047,v17_v15w_weighted_all,none,V17.0-operative
185.3800362288572,0.1037804115317045,v17_v15w_weighted_all,none,V17.0-operative
187.8986970432544,0.2538455439255058,v17_v15w_weighted_all,none,V17.0-operative
190.45157757422425,0.4178875567494556,v17_v15w_weighted_all,none,V17.0-operative
193.03914274701413,0.4870564356292403,v17_v15w_weighted_all,none,V17.0-operative
195.6618638035658,0.5755361876427041,v17_v15w_weighted_all,none,V17.0-operative
198.3202183883366,0.7329055283849172,v17_v15w_weighted_all,none,V17.0-operative
201.01469063528745,0.8110936383404359,v17_v15w_weighted_all,none,V17.0-operative
203.74577125605205,0.8179944718743425,v17_v15w_weighted_all,none,V17.0-operative
206.51395762930443,0.830005642079475,v17_v15w_weighted_all,none,V17.0-operative
209.31975389134035,0.8658233952395735,v17_v15w_weighted_all,none,V17.0-operative
212.16367102788968,0.9253773843815573,v17_v15w_weighted_all,none,V17.0-operative
215.046226967176,0.9912049711921934,v17_v15w_weighted_all,none,V17.0-operative
217.9679466742405,1.052229811360569,v17_v15w_weighted_all,none,V17.0-operative
220.9293622465478,1.1636202846713768,v17_v15w_weighted_all,none,V17.0-operative
223.93101301089007,1.2935018485180594,v17_v15w_weighted_all,none,V17.0-operative
226.97344562160825,1.4341596709390374,v17_v15w_weighted_all,none,V17.0-operative
230.0572141601477,1.8267536495575407,v17_v15w_weighted_all,none,V17.0-operative
233.18288023596625,1.844367242846656,v17_v15w_weighted_all,none,V17.0-operative
236.3510130888132,1.857594401028121,v17_v15w_weighted_all,none,V17.0-operative
239.56218969239836,1.8637528346079997,v17_v15w_weighted_all,none,V17.0-operative
242.81699485946905,1.861548910073167,v17_v15w_weighted_all,none,V17.0-operative
246.116021348315,1.84327948724098,v17_v15w_weighted_all,none,V17.0-operative
249.45986997072075,1.8393203294016147,v17_v15w_weighted_all,none,V17.0-operative
252.84914970138288,1.953619002491272,v17_v15w_weighted_all,none,V17.0-operative
256.28447778881684,2.018063187780933,v17_v15w_weighted_all,none,V17.0-operative
259.7664798677681,2.033132125696846,v17_v15w_weighted_all,none,V17.0-operative
263.29579007315147,2.062166018117484,v17_v15w_weighted_all,none,V17.0-operative
266.8730511555385,2.0849568310301585,v17_v15w_weighted_all,none,V17.0-operative
270.498914598214,2.1123589307540254,v17_v15w_weighted_all,none,V17.0-operative
274.1740407358226,2.116411926608173,v17_v15w_weighted_all,none,V17.0-operative
277.8990988746275,2.271763502485914,v17_v15w_weighted_all,none,V17.0-operative
281.67476741440345,2.1081738693809,v17_v15w_weighted_all,none,V17.0-operative
285.50173397198506,2.1949767953773973,v17_v15w_weighted_all,none,V17.0-operative
289.3806955064947,2.3576165423422477,v17_v15w_weighted_all,none,V17.0-operative
293.3123584462701,2.379639665977625,v17_v15w_weighted_all,none,V17.0-operative
297.29743881751904,2.3959827376613374,v17_v15w_weighted_all,none,V17.0-operative
301.3366623747198,2.4070854137797624,v17_v15w_weighted_all,none,V17.0-operative
305.43076473279405,2.415846224731286,v17_v15w_weighted_all,none,V17.0-operative
309.58049150107536,2.426605462776445,v17_v15w_weighted_all,none,V17.0-operative
313.78659841909854,2.436147046730337,v17_v15w_weighted_all,none,V17.0-operative
318.0498514942328,2.4394986508550347,v17_v15w_weighted_all,none,V17.0-operative
322.3710271411856,2.445131003064342,v17_v15w_weighted_all,none,V17.0-operative
326.75091232340185,2.472014803891716,v17_v15w_weighted_all,none,V17.0-operative
331.1903046963837,2.474809798443635,v17_v15w_weighted_all,none,V17.0-operative
335.6900127529581,2.4776609131142644,v17_v15w_weighted_all,none,V17.0-operative
340.2508559705179,2.4804300098230727,v17_v15w_weighted_all,none,V17.0-operative
344.87366496026306,2.4831273491838832,v17_v15w_weighted_all,none,V17.0-operative
349.5592816184701,2.4857499328083525,v17_v15w_weighted_all,none,V17.0-operative
354.3085592798164,2.488983439758476,v17_v15w_weighted_all,none,V17.0-operative
359.1223628727876,2.5099041561435222,v17_v15w_weighted_all,none,V17.0-operative
364.0015690771966,2.5187869380043466,v17_v15w_weighted_all,none,V17.0-operative
368.947066483843,2.52193084698489,v17_v15w_weighted_all,none,V17.0-operative
373.9597557563408,2.5249444747835588,v17_v15w_weighted_all,none,V17.0-operative
379.04054979514586,2.666516129688653,v17_v15w_weighted_all,none,V17.0-operative
384.1903739038111,2.6885416578900214,v17_v15w_weighted_all,none,V17.0-operative
389.410165957501,2.6945855466888164,v17_v15w_weighted_all,none,V17.0-operative
394.7008765737955,2.724515487689646,v17_v15w_weighted_all,none,V17.0-operative
400.0634692858142,2.7433193924618564,v17_v15w_weighted_all,none,V17.0-operative
405.4989207176935,2.761730559110059,v17_v15w_weighted_all,none,V17.0-operative
411.0082207624468,2.772971702250182,v17_v15w_weighted_all,none,V17.0-operative
416.592372762242,2.779411492775917,v17_v15w_weighted_all,none,V17.0-operative
422.2523936911282,2.771320239174884,v17_v15w_weighted_all,none,V17.0-operative
427.9893143402445,2.764694773691027,v17_v15w_weighted_all,none,V17.0-operative
433.8041795055459,2.766796405976789,v17_v15w_weighted_all,none,V17.0-operative
439.6980481780792,2.769015491034073,v17_v15w_weighted_all,none,V17.0-operative
445.67199373684457,2.771384065753467,v17_v15w_weighted_all,none,V17.0-operative
451.7271041442754,2.7740030147575467,v17_v15w_weighted_all,none,V17.0-operative
457.8644821443785,2.777078729691577,v17_v15w_weighted_all,none,V17.0-operative
464.0852454635616,2.8108074077617973,v17_v15w_weighted_all,none,V17.0-operative
470.39052701419183,2.858780949204198,v17_v15w_weighted_all,none,V17.0-operative
476.78147510091935,3.0092874569624284,v17_v15w_weighted_all,none,V17.0-operative
483.25925362980416,3.3469591963533825,v17_v15w_weighted_all,none,V17.0-operative
489.8250423202842,3.6529915306158056,v17_v15w_weighted_all,none,V17.0-operative
496.4800369200237,3.827503446808085,v17_v15w_weighted_all,none,V17.0-operative
503.2254494226796,1.6955401716092546,v17_v15w_weighted_all,none,V17.0-operative
510.06250828862784,1.755534541371223,v17_v15w_weighted_all,none,V17.0-operative
516.9924586686884,1.7979637778364317,v17_v15w_weighted_all,none,V17.0-operative
524.0165626308873,1.799684451828517,v17_v15w_weighted_all,none,V17.0-operative
531.1360993903049,1.7988328004793668,v17_v15w_weighted_all,none,V17.0-operative
538.3523655420422,1.797135755549454,v17_v15w_weighted_all,none,V17.0-operative
545.666675297354,1.7952287266131104,v17_v15w_weighted_all,none,V17.0-operative
553.0803607229905,1.7748539026744878,v17_v15w_weighted_all,none,V17.0-operative
560.5947719837906,1.765898605069034,v17_v15w_weighted_all,none,V17.0-operative
568.2112775885711,1.7593355804273076,v17_v15w_weighted_all,none,V17.0-operative
575.9312646393564,1.7583936313704562,v17_v15w_weighted_all,none,V17.0-operative
583.7561390839951,1.7574849468822509,v17_v15w_weighted_all,none,V17.0-operative
591.6873259722075,1.756606530826137,v17_v15w_weighted_all,none,V17.0-operative
599.7262697151135,1.755752544561584,v17_v15w_weighted_all,none,V17.0-operative
607.8744343482851,1.7339640526064524,v17_v15w_weighted_all,none,V17.0-operative
616.1333037983741,1.7295935069746506,v17_v15w_weighted_all,none,V17.0-operative
624.5043821533608,1.7275338438606127,v17_v15w_weighted_all,none,V17.0-operative
632.9891939364765,1.572383264057602,v17_v15w_weighted_all,none,V17.0-operative
641.5892843838452,1.1334194368165005,v17_v15w_weighted_all,none,V17.0-operative
650.3062197259,1.1428278402795793,v17_v15w_weighted_all,none,V17.0-operative
659.1415874726208,1.1482750562595645,v17_v15w_weighted_all,none,V17.0-operative
668.096996702649,1.1529430203625384,v17_v15w_weighted_all,none,V17.0-operative
677.1740783563286,1.1572139948440483,v17_v15w_weighted_all,none,V17.0-operative
686.3744855327304,1.1603486896347437,v17_v15w_weighted_all,none,V17.0-operative
695.6998937907109,1.1621470423998352,v17_v15w_weighted_all,none,V17.0-operative
705.1520014540613,0.9359660268560364,v17_v15w_weighted_all,none,V17.0-operative
