frequency_hz,delta_db,n_eff
31.64443857203341,-4.007522045299949,109.18521937792812
31.69786384922227,-4.00672699870815,109.57738253952182
31.751379324258572,-4.005902599510918,109.9837949894487
31.804985149423263,-4.005047743066547,110.40493651598312
31.85868147725438,-4.004161283112983,110.8412990440562
31.912468460547494,-3.9690674316546684,111.29338646636974
31.96634625235614,-3.9200518732961394,111.76171440250081
32.02031500599225,-3.918656390461698,112.24680987663226
32.074374875026606,-3.918592928770803,112.74921342045319
32.128526013289246,-3.918527104343616,113.26946868514948
32.18276857486992,-3.918458827300891,113.80813633590856
32.23710271411854,-3.918388005060299,114.3657837823038
32.29152858564561,-3.9183145415383853,114.9429866067037
32.34604634432264,-3.9182383370176934,115.54032749722083
32.40065614528262,-3.918159288008818,116.15839500199606
32.45535814392046,-3.9180772871071796,116.79778208535785
32.51015249589342,-3.917992222844326,117.45908446475849
32.56503935712155,-3.917903979533543,118.14289870567906
32.62001888378814,-3.917812437109552,118.84982004994225
32.675091232340165,-3.917717470962074,119.58043995107055
32.73025655948874,-3.917618951763007,120.33534328852129
32.78551502220953,-3.917305953407935,121.11510523084407
32.84086677774327,-3.9142955926195158,121.92028771606653
32.89631198359609,-3.911173502934723,122.75143551599938
32.951850797540104,-3.9079354811125593,123.60907184968532
33.00748337761376,-3.90457716534884,124.49369350999453
33.06320988212234,-3.9010940292615213,125.40576546647068
33.11903046963837,-3.8974813756454183,126.34571490706651
33.17494529900211,-3.8937343299873977,127.31392468147419
33.230954529322,-3.8898478337325875,128.31072610952768
33.287058319975074,-3.8858166372919065,129.3363911197608
33.34325683060746,-3.8816354806667452,130.3912080626549
33.399550221134824,-3.8799693977006697,131.47518322649216
33.4559386517428,-3.879669651370464,132.5883562576337
33.512422282887464,-3.8793586016402157,133.7307054804283
33.56900127529581,-3.8790358203005684,134.9020626100395
33.62567578996617,-3.878700862854518,136.10213729893707
33.68244598816868,-3.878353267893062,137.3305040189927
33.73931203144578,-3.877992557864486,138.58659105415057
33.796274081612616,-3.7855838306440304,139.86965494960734
33.85333230075753,-3.7242228633050964,141.17878163500168
33.910486851242524,-3.5788129558971917,142.5128631750128
33.96773789570371,-3.5690484418030923,143.8706013433191
34.025085597051785,-3.5325619034952638,145.25048193465673
34.08253011847249,-3.5291202825612418,146.65064300066754
34.140071623427055,-3.525549904708774,148.0690468751991
34.197710275652696,-3.521846125351279,149.50335235836044
34.255446239163064,-3.519609463921042,150.95096943684902
34.31327967824872,-3.519341778296146,152.40900451218914
34.371210757477584,-3.5190640274145033,153.87422667686715
34.42923964169542,-3.5187758284687707,155.34310725397134
34.487366496026304,-3.518476783187557,156.81177718574122
34.545591485873096,-3.5169907164194,158.27603748072258
34.60391477691789,-3.515283274266268,159.73136888463165
34.66233653512252,-3.513511104431319,161.17292069758008
