frequency_hz,delta_db,n_eff
35.73095695024241,-1.907302832969367,176.18705516429472
35.79128149273491,-1.8964016126734824,176.32725935034122
35.851707881098264,-1.8727971717082104,176.35068238561632
35.91223628727875,-1.8336583318288753,176.25586052498906
35.97286688351298,-1.7923250519125506,176.04212768098182
36.033599842328314,-1.7365544403329325,175.7096324347842
36.094435336543405,-1.5055978683705469,175.2593416483527
36.15537353926869,-1.4914600502767754,174.69303048506129
36.216414623906836,-1.4778229605979916,174.01325906520833
36.2775587641533,-1.4632493296879068,173.22333922977995
36.33880613399676,-1.4481830497238235,172.32727559231037
36.40015690771966,-1.4339114636472166,171.32972387427327
36.461611259898675,-1.4216586042594606,170.23591321377702
36.52316936540522,-1.4098573827621423,169.05157503827056
36.58483139940594,-1.3665162643500415,167.7828643094885
36.64659753736323,-1.3656097717369584,166.43627778755908
36.70846795503569,-1.3647353922032024,165.01857126379386
36.77044282847867,-1.326330104236065,163.53667760672482
36.832522334044775,-1.273563704119836,161.99762730256836
36.8947066483843,-1.2425933422511852,160.40847296222796
36.956995948445815,-1.2127261239644358,158.77621902617892
37.01939041147662,-1.1839212150853295,157.1077576399691
37.081890215023265,-1.170189595454428,155.409811409868
37.144495536932034,-1.166989978272951,153.68888349194566
37.207206555349494,-1.1597513387497593,151.95121522830956
37.27002344872297,-1.152642730074442,150.20275132867653
37.33294639580104,-1.1457770202976199,148.4491124090502
37.39597557563408,-1.1247668464814078,146.6955745448421
37.459111167574775,-1.1041659392309922,144.94705537424358
37.52235335127857,-1.084282919490853,143.2081061981948
37.58570230670425,-1.0650910262648028,141.48290946392154
37.649158214114415,-0.8758636637493895,139.77528098660798
37.71272125407601,-0.8644841992149425,138.0886762548283
37.776391607460816,-0.6367338999935208,136.42620017589243
37.840169455446,-0.6238942954900687,134.7906196434223
37.90405497951459,-0.622046611814146,133.18437834742673
37.96804836145602,-0.6202618675052411,131.60961329346662
38.03214978336665,-0.618537716235646,130.06817254910382
38.096359427650256,-0.6168718938056128,128.56163379011954
38.16067747701857,-0.6152622150843808,127.09132327375397
38.225104114491806,-0.59024686165064,125.6583349198276
38.28963952339916,-0.5745315900189445,124.26354923166974
38.35428388737934,-0.5593510896045704,122.90765183644746
38.41903739038111,-0.544684948740561,121.5911514680935
38.48390021666378,-0.5305134680539434,120.31439725529034
38.54887255079774,-0.5168176333550226,119.07759521168624
38.613954577665,-0.47465778627043465,117.88082385582165
38.6791464824597,-0.45287331544689696,116.7240489142317
38.74444845068865,-0.43175115221248483,115.60713708315988
38.80986066817185,-0.41126612604403556,114.5298688425906
38.87538332104301,-0.3913938815600593,113.49195033119466
38.94101659575012,-0.3721108474834961,112.49302430270946
39.00676067905589,-0.36099097093094024,111.53268019354483
39.07261575803839,-0.35823915780334586,110.61046333840999
39.13858202009152,-0.3555741554972098,109.7258833758016
39.204659652925564,-0.35299248473661915,108.87842188859582
39.270848844567716,-0.3504907817405552,108.06753932700866
39.3371497833626,-0.3480657936274738,107.29268126209848
39.403562657972834,-0.3457143739739348,106.5532840179618
39.470087657379565,-0.34343347852128964,105.84877973005288
39.53672497088298,-0.341220161024547,105.1786008757618
39.60347478810287,-0.33907156923780507,104.54218432167362
39.67033729897915,-0.2802453800280272,103.93897492992093
39.73731269377243,-0.23109844311314284,103.36843428774083
39.80440116306452,-0.23080451297101304,102.83012181103767
39.87160289775899,-0.15471693795732364,102.32333668452746
39.938918089081724,-0.15216243608375496,101.84767757744177
40.00634692858144,-0.14968184879579682,101.40267071641654
40.073889608130266,-0.14727195076974822,100.98786478909837
40.14154631992424,-0.14492961786789674,100.60283245560397
40.2093172564839,-0.14265182286525968,100.24717167393088
40.277202610654825,-0.14043563131643277,99.92050686099583
40.345202575608155,-0.13827819755703824,99.62248990900235
40.413317344841175,-0.13617676083433616,99.35280107498306
40.48154711217785,-0.13412864156186693,99.11114975961931
40.54989207176937,-0.1321312376930561,98.89727518980074
40.61835241809472,-0.1301820212090039,98.71094701785717
40.68692834596122,-0.12827853471579387,98.55196584896049
40.75562005050507,-0.1264183881467993,98.42016370684925
40.824427727191946,-0.12459925556571506,98.31540444677164
40.893351571817504,-0.09493721686076594,98.23758412335347
40.96239178050797,-0.0907380063031212,98.18663131998318
41.031548549720696,-0.08662807152017948,98.16250744524146
41.100822076244704,-0.08260241185747652,98.1652070008899
41.17021255720125,-0.07865615395821361,98.19475782496049
41.23972019004441,-0.0747845454523874,98.25122131253855
41.3093451725616,-0.07098294883589243,98.33469261590865
41.37908770287417,-0.06724683553218279,98.44530082481691
41.44894797943797,-0.06357178012931902,98.58320912668604
41.51892620104387,-0.05995345478552942,98.7486149456973
41.58902256681839,-0.05638762379670026,98.94175005870878
41.659237276224225,-0.0528701383195129,99.16288068500728
41.729570529060815,-0.04939693124419273,99.41230754587971
41.80002252546493,-0.04596401221118394,99.6903658889303
41.870593465911234,-0.042567462766132255,99.9974254709497
41.941283551212834,-0.039203431648183955,100.33389049195405
42.01209298252189,-0.03586813020639798,100.70019947174511
42.08302196133017,-0.03255782793975821,101.09682505898375
42.154070689469584,-0.0292688481562208,101.52427376131497
42.22523936911284,-0.02599756374667614,101.98308558351742
42.29652820277395,-0.022740393069828238,102.47383355896724
42.36793739330883,-0.019493795944311665,102.99712315790404
