pair,event,window,band,delta_db,match_cost
B_open,6,5-10ms,2000-5000,-1.8036661701863892,1.4064102122364088
B_open,6,5-10ms,5000-10000,-3.652996898726542,1.4064102122364088
B_open,6,10-20ms,20-60,-7.845393342926457,1.4064102122364088
B_open,6,10-20ms,60-150,-9.517745246754913,1.4064102122364088
B_open,6,10-20ms,150-500,-9.016226028431454,1.4064102122364088
B_open,6,10-20ms,500-2000,-3.4720114049404103,1.4064102122364088
B_open,6,10-20ms,2000-5000,-13.202988865383816,1.4064102122364088
B_open,6,10-20ms,5000-10000,-13.856957204349527,1.4064102122364088
B_open,6,20-40ms,20-60,-18.53783933470713,1.4064102122364088
B_open,6,20-40ms,60-150,-20.900268165243922,1.4064102122364088
B_open,6,20-40ms,150-500,-19.074484601749703,1.4064102122364088
B_open,6,20-40ms,500-2000,-2.032264841967148,1.4064102122364088
B_open,6,20-40ms,2000-5000,-13.789421065977976,1.4064102122364088
B_open,6,20-40ms,5000-10000,-14.103940740956105,1.4064102122364088
B_open,6,40-80ms,20-60,-18.434651659443688,1.4064102122364088
B_open,6,40-80ms,60-150,-17.087030043917633,1.4064102122364088
B_open,6,40-80ms,150-500,-12.875651292382052,1.4064102122364088
B_open,6,40-80ms,500-2000,16.494615600663423,1.4064102122364088
B_open,6,40-80ms,2000-5000,5.32457404506188,1.4064102122364088
B_open,6,40-80ms,5000-10000,2.9571814515683457,1.4064102122364088
B_open,6,80-160ms,20-60,-16.642424596486563,1.4064102122364088
B_open,6,80-160ms,60-150,-17.513435117461526,1.4064102122364088
B_open,6,80-160ms,150-500,-11.343611021953357,1.4064102122364088
B_open,6,80-160ms,500-2000,16.776308543828954,1.4064102122364088
B_open,6,80-160ms,2000-5000,-12.195034554070673,1.4064102122364088
B_open,6,80-160ms,5000-10000,-12.020157423759244,1.4064102122364088
B_open,7,0-5ms,20-60,-33.09124045675483,1.3094095927611444
B_open,7,0-5ms,60-150,-33.07203555450919,1.3094095927611444
B_open,7,0-5ms,150-500,-29.35976160209099,1.3094095927611444
B_open,7,0-5ms,500-2000,-14.913654257973306,1.3094095927611444
B_open,7,0-5ms,2000-5000,-12.580949639923901,1.3094095927611444
B_open,7,0-5ms,5000-10000,-21.42354094369685,1.3094095927611444
B_open,7,5-10ms,20-60,-25.192233537034163,1.3094095927611444
B_open,7,5-10ms,60-150,-23.004572546353657,1.3094095927611444
B_open,7,5-10ms,150-500,-18.88434977543671,1.3094095927611444
B_open,7,5-10ms,500-2000,-2.6245640634515652,1.3094095927611444
B_open,7,5-10ms,2000-5000,-8.85260680083995,1.3094095927611444
B_open,7,5-10ms,5000-10000,-17.388442439296483,1.3094095927611444
B_open,7,10-20ms,20-60,-8.972967756383724,1.3094095927611444
B_open,7,10-20ms,60-150,-8.532471406509053,1.3094095927611444
