candidate,params,holdout,mae,rmse,p90,p95,sub_mae,high_mae
3,"(200, 40, 150, 1.2)",C_12,5.265889166315169,6.756812074653955,11.554911910950453,13.754307841153246,,6.02127727143136
3,"(200, 40, 150, 1.2)",C_24,4.701558183993265,6.414062420018111,11.094601002499125,14.812604822128284,,13.46690792691872
3,"(200, 40, 150, 1.2)",C_chromatic,4.466976862605916,5.958506451380873,9.456814630482226,12.633034822227868,,7.443233482497581
3,"(200, 40, 150, 1.2)",C_open,4.681617365525058,5.436174425843576,8.188332661066196,8.671122707977485,,
3,"(200, 40, 150, 1.2)",D_12,2.6623019047383343,4.363050254038425,7.714350953130423,10.86408405282394,,4.063906053725728
3,"(200, 40, 150, 1.2)",D_open,3.3038475640643323,4.170934867265148,7.186959169063313,8.4054378662355,0.5540794853983253,
3,"(200, 40, 150, 1.2)",E_12,4.336106072920737,6.635901318705918,13.501829766796327,15.133016588483333,,
3,"(200, 40, 150, 1.2)",E_open,4.129772777006782,5.33325057069251,8.92272022375235,10.732793134029233,3.15074345893073,
3,"(200, 40, 150, 1.2)",G_12,4.967995999200898,5.960184068132327,8.801651294876523,12.04289430829155,,4.7891813734941735
3,"(200, 40, 150, 1.2)",G_open,4.0759482705185075,5.478652172643264,9.239651060478105,10.67478278233586,,
4,"(400, 80, 300, 1.5)",A_12,4.719698589959833,6.822279601283961,13.196059059262629,15.36216463611401,,
4,"(400, 80, 300, 1.5)",A_open,5.034194417440311,6.331645794431259,10.253448553790761,12.756356064986717,4.010251708335958,
4,"(400, 80, 300, 1.5)",B_12,5.282676129244135,7.1734445913677645,13.608778808856632,15.989505814958713,,
4,"(400, 80, 300, 1.5)",B_open,5.749330934992072,7.450043209101134,15.320098754045139,15.323725672302913,3.616518801697026,
4,"(400, 80, 300, 1.5)",C_12,5.238663835605512,6.730221372411485,11.565863272017449,13.481379952975983,,6.073290591312433
4,"(400, 80, 300, 1.5)",C_24,4.709540752720272,6.425808076371214,11.151594674357026,14.867299199156905,,13.442641882378235
4,"(400, 80, 300, 1.5)",C_chromatic,4.459622782213371,5.963346905883108,9.62409573141388,12.8023870302095,,7.54615873633578
4,"(400, 80, 300, 1.5)",C_open,4.98217159315194,5.742887223803714,8.564995439419793,9.025943842128507,,
4,"(400, 80, 300, 1.5)",D_12,2.7349676378563856,4.461695763875804,7.796419985617842,11.104810174210751,,4.086199425627967
4,"(400, 80, 300, 1.5)",D_open,3.3045934502456413,4.153365273373818,7.091012827287239,8.160690411923326,0.6043206070388983,
4,"(400, 80, 300, 1.5)",E_12,4.279181706365293,6.610115728659835,13.506900977912856,15.154630182748901,,
4,"(400, 80, 300, 1.5)",E_open,4.119274540215596,5.314712748758556,8.879626970330413,10.714460465855769,3.1509324784052724,
4,"(400, 80, 300, 1.5)",G_12,5.163997191061822,6.121263017657796,9.076157924943459,12.129507189548736,,4.975620183477113
4,"(400, 80, 300, 1.5)",G_open,4.323210488339903,5.764894634526166,9.637632563025823,11.076376934251401,,
5,"(80, 8, 20, 0.7)",A_12,4.53971602824215,6.66829574165811,13.127218128281081,14.985238628890341,,
5,"(80, 8, 20, 0.7)",A_open,5.027086418475951,6.279914989518474,10.63155008249168,12.433324156790189,4.033561629219858,
5,"(80, 8, 20, 0.7)",B_12,5.371463966362594,7.1388509789002965,13.296775899334886,15.543019281288807,,
5,"(80, 8, 20, 0.7)",B_open,5.683582119760197,7.321466426456338,14.284503027219731,14.286274961763224,3.5399439391551035,
5,"(80, 8, 20, 0.7)",C_12,5.338161182752607,6.826425410734192,11.69520241993225,13.964800943295254,,5.75308207490631
5,"(80, 8, 20, 0.7)",C_24,4.589426991120723,6.282230499884182,10.82805374888041,14.43945021702008,,13.448620855018358
5,"(80, 8, 20, 0.7)",C_chromatic,4.5321655762925825,5.997717241962918,9.687758606751803,12.559898446260746,,7.226400678947697
5,"(80, 8, 20, 0.7)",C_open,4.135506348690631,4.880803233460234,7.519857282640548,8.060994433246847,,
5,"(80, 8, 20, 0.7)",D_12,2.7174489708046536,4.263160655980205,7.233288550267892,10.300203888573096,,4.168567749277955
5,"(80, 8, 20, 0.7)",D_open,3.3555092707435143,4.262943708358659,7.302150547090087,8.669069438695988,0.45152617265232486,
5,"(80, 8, 20, 0.7)",E_12,4.456364597426065,6.668058330945634,13.440570125390131,15.009663157033794,,
5,"(80, 8, 20, 0.7)",E_open,4.1571373383728485,5.374238284348705,8.922365670757811,10.91288015390314,3.150970647590973,
5,"(80, 8, 20, 0.7)",G_12,4.577121680984336,5.655618140023931,8.478809640732196,11.870346137032193,,4.417180195465531
5,"(80, 8, 20, 0.7)",G_open,3.6247461338051354,4.941711150667143,8.467900733690712,9.89535880136079,,
6,"(160, 15, 50, 1)",A_12,4.620151208623545,6.746704162705341,13.167282484707213,15.150425417777324,,
6,"(160, 15, 50, 1)",A_open,5.024665499725307,6.290479334489535,10.522646799382954,12.522804082176,4.022284718351167,
6,"(160, 15, 50, 1)",B_12,5.3181230203552845,7.125344408484302,13.335506018068296,15.609637246647903,,
6,"(160, 15, 50, 1)",B_open,5.70246136693321,7.359904456096836,14.639183242781213,14.640703843728378,3.5655977366929537,
6,"(160, 15, 50, 1)",C_12,5.3043971450313885,6.794304332642791,11.555341207684089,14.051678849052532,,6.030905640664624
6,"(160, 15, 50, 1)",C_24,4.668029116224169,6.3738345445413565,11.088082153334536,14.676685328036939,,13.47902039063501
6,"(160, 15, 50, 1)",C_chromatic,4.497062743836175,5.971770491440906,9.623050288284162,12.593634331571385,,7.375659331864983
6,"(160, 15, 50, 1)",C_open,4.364636405443301,5.113756043118627,7.822332686789601,8.329208244197853,,
6,"(160, 15, 50, 1)",D_12,2.6975658151674393,4.318735598070246,7.575810015933149,10.634526839719609,,4.099572892081254
6,"(160, 15, 50, 1)",D_open,3.3236648454914155,4.213349296289885,7.218299798588654,8.47989746256735,0.517836474601801,
6,"(160, 15, 50, 1)",E_12,4.387363530222062,6.649151247508903,13.463525601407687,15.07961250405484,,
6,"(160, 15, 50, 1)",E_open,4.144456762907023,5.3551627962242625,8.947140243128464,10.774494069978543,3.1508193156629636,
6,"(160, 15, 50, 1)",G_12,4.75423508542255,5.801700245224162,8.622257996669818,12.022241246407015,,4.61947266352484
6,"(160, 15, 50, 1)",G_open,3.821257315865199,5.1830097939245565,8.81997751620188,10.250606126297107,,
7,"(300, 30, 100, 1.3)",A_12,4.679193236988963,6.797952830530165,13.291511280150209,15.308874681472888,,
7,"(300, 30, 100, 1.3)",A_open,5.027719319019605,6.309122660102304,10.33812621194862,12.637723197327269,4.014744868877069,
7,"(300, 30, 100, 1.3)",B_12,5.283543241980081,7.130243129242325,13.489546414861755,15.749125834003557,,
7,"(300, 30, 100, 1.3)",B_open,5.726091482445032,7.404959821601214,14.999799979032497,15.00134689979162,3.593395975114982,
7,"(300, 30, 100, 1.3)",C_12,5.269842059409182,6.76062366265333,11.523905950841193,13.940945760161513,,6.10466224018882
7,"(300, 30, 100, 1.3)",C_24,4.714163236683403,6.429443052986395,11.120234571487632,14.829102889749867,,13.482366535692746
7,"(300, 30, 100, 1.3)",C_chromatic,4.469931411225538,5.960667451873893,9.499921564342179,12.729839264708483,,7.466086780805518
7,"(300, 30, 100, 1.3)",C_open,4.652436069882068,5.406642125831793,8.164446491047364,8.631971195740364,,
7,"(300, 30, 100, 1.3)",D_12,2.691789563889432,4.392278233432974,7.839577685491357,10.968283117264166,,4.068307021556669
7,"(300, 30, 100, 1.3)",D_open,3.3107241743331395,4.177489114358775,7.198204644958236,8.311611974895854,0.5690127528365067,
7,"(300, 30, 100, 1.3)",E_12,4.325813619134065,6.624678784249233,13.482116616073762,15.044577836885654,,
7,"(300, 30, 100, 1.3)",E_open,4.129355931603218,5.332016732076178,8.902359456698095,10.742796707258503,3.150710482252462,
7,"(300, 30, 100, 1.3)",G_12,4.969448384096024,5.974539584155427,8.811212113656456,12.149103686558504,,4.808256091983197
7,"(300, 30, 100, 1.3)",G_open,4.059739771058615,5.466374549022358,9.222859671604711,10.657424946851583,,
