pair,family,string,register,event,phase,f,f0,y,snr,match_cost,kind,weight_base
G_open,open,G,low,24,body,97.89118966756536,97.89118966756536,-2.110457929796091,48.264818822737,1.452368122836919,fundamental,0.4
G_open,open,G,low,24,sustain,97.89118966756536,97.89118966756536,-2.435922820729772,50.221922986962596,1.452368122836919,fundamental,0.3
G_open,open,G,low,24,decay,97.89118966756536,97.89118966756536,-3.413958702746676,44.94354951419534,1.452368122836919,fundamental,0.08
G_open,open,G,low,25,attack,97.89153302969471,97.89153302969471,-6.660290215844412,47.98261845281858,1.2279930049027314,fundamental,0.08
G_open,open,G,low,25,stabilization,97.89153302969471,97.89153302969471,-6.866198251315623,47.067388064826034,1.2279930049027314,fundamental,0.14
G_open,open,G,low,25,body,97.89153302969471,97.89153302969471,-6.52474900736113,51.62089137676678,1.2279930049027314,fundamental,0.4
G_open,open,G,low,25,sustain,97.89153302969471,97.89153302969471,-6.575579877543298,53.61771248721596,1.2279930049027314,fundamental,0.3
G_open,open,G,low,25,decay,97.89153302969471,97.89153302969471,-6.601987850890694,49.04653568019357,1.2279930049027314,fundamental,0.08
G_open,open,G,low,26,attack,97.89853317134292,97.89853317134292,-11.10668972972659,45.69153374762229,1.3020350431539898,fundamental,0.08
G_open,open,G,low,26,stabilization,97.89853317134292,97.89853317134292,-10.999868141519954,44.68157206972005,1.3020350431539898,fundamental,0.14
G_open,open,G,low,26,body,97.89853317134292,97.89853317134292,-10.570857384766086,49.31815572926629,1.3020350431539898,fundamental,0.4
G_open,open,G,low,26,sustain,97.89853317134292,97.89853317134292,-10.229644930079232,51.4838195030418,1.3020350431539898,fundamental,0.3
G_open,open,G,low,26,decay,97.89853317134292,97.89853317134292,-11.634413405798725,45.52437865404116,1.3020350431539898,fundamental,0.08
G_open,open,G,low,27,attack,97.91227883213656,97.91227883213656,-10.049264184577716,44.270844957672594,1.4770563575470066,fundamental,0.08
G_open,open,G,low,27,stabilization,97.91227883213656,97.91227883213656,-10.618072218559526,43.43201011786883,1.4770563575470066,fundamental,0.14
G_open,open,G,low,27,body,97.91227883213656,97.91227883213656,-9.870119849912207,48.211176680715575,1.4770563575470066,fundamental,0.4
G_open,open,G,low,27,sustain,97.91227883213656,97.91227883213656,-9.473389024421358,50.49771783615034,1.4770563575470066,fundamental,0.3
G_open,open,G,low,27,decay,97.91227883213656,97.91227883213656,-9.572945749801969,45.83227101770176,1.4770563575470066,fundamental,0.08
G_open,open,G,low,28,attack,97.93027931332988,97.93027931332988,-20.626475595545585,34.31653858610137,1.7079863703863485,fundamental,0.08
G_open,open,G,low,28,stabilization,97.93027931332988,97.93027931332988,-20.999958603704272,32.30263510853817,1.7079863703863485,fundamental,0.14
G_open,open,G,low,28,body,97.93027931332988,97.93027931332988,-19.548865587851147,37.84970235100798,1.7079863703863485,fundamental,0.4
G_open,open,G,low,28,sustain,97.93027931332988,97.93027931332988,-18.821700020249352,40.66942589816084,1.7079863703863485,fundamental,0.3
G_open,open,G,low,28,decay,97.93027931332988,97.93027931332988,-18.0414539806534,36.26287484917184,1.7079863703863485,fundamental,0.08
G_open,open,G,low,29,attack,97.9006432661412,97.9006432661412,-10.148590268977827,46.11450391671267,1.4411792750149943,fundamental,0.08
G_open,open,G,low,29,stabilization,97.9006432661412,97.9006432661412,-10.559992663443154,45.238001304026454,1.4411792750149943,fundamental,0.14
G_open,open,G,low,29,body,97.9006432661412,97.9006432661412,-10.180805339146032,50.03223143343125,1.4411792750149943,fundamental,0.4
G_open,open,G,low,29,sustain,97.9006432661412,97.9006432661412,-9.873310157660184,52.31781946775926,1.4411792750149943,fundamental,0.3
G_open,open,G,low,29,decay,97.9006432661412,97.9006432661412,-9.944810226158763,47.60978900043488,1.4411792750149943,fundamental,0.08
G_open,open,G,low,30,attack,97.84376276027737,97.84376276027737,-10.895282981323511,39.856020179843725,1.2188148891584407,fundamental,0.08
G_open,open,G,low,30,stabilization,97.84376276027737,97.84376276027737,-10.801374644277216,38.27169027525488,1.2188148891584407,fundamental,0.14
G_open,open,G,low,30,body,97.84376276027737,97.84376276027737,-8.918846610106947,43.665754602037794,1.2188148891584407,fundamental,0.4
G_open,open,G,low,30,sustain,97.84376276027737,97.84376276027737,-7.688888598118766,46.233596213944296,1.2188148891584407,fundamental,0.3
G_open,open,G,low,30,decay,97.84376276027737,97.84376276027737,-7.209083867940528,42.02941803704033,1.2188148891584407,fundamental,0.08
G_open,open,G,low,31,attack,97.90563201809566,97.90563201809566,-7.941369633120125,45.826015024321514,1.3533848771258494,fundamental,0.08
G_open,open,G,low,31,stabilization,97.90563201809566,97.90563201809566,-7.889244413271264,44.96136597625933,1.3533848771258494,fundamental,0.14
G_open,open,G,low,31,body,97.90563201809566,97.90563201809566,-7.643529939277336,49.605014582450806,1.3533848771258494,fundamental,0.4
G_open,open,G,low,31,sustain,97.90563201809566,97.90563201809566,-7.457367875884259,51.798809749154,1.3533848771258494,fundamental,0.3
G_open,open,G,low,31,decay,97.90563201809566,97.90563201809566,-7.49770132736824,47.27479721787584,1.3533848771258494,fundamental,0.08
G_open,open,G,low,32,attack,97.88720644655953,97.88720644655953,-9.3923104043389,47.74696480368402,1.3305421857034248,fundamental,0.08
G_open,open,G,low,32,stabilization,97.88720644655953,97.88720644655953,-10.525666395997142,46.14457027559105,1.3305421857034248,fundamental,0.14
G_open,open,G,low,32,body,97.88720644655953,97.88720644655953,-10.30970500194212,50.400008388349974,1.3305421857034248,fundamental,0.4
G_open,open,G,low,32,sustain,97.88720644655953,97.88720644655953,-10.410849774395928,51.95184448042043,1.3305421857034248,fundamental,0.3
G_open,open,G,low,32,decay,97.88720644655953,97.88720644655953,-10.869743828961084,46.94778669674454,1.3305421857034248,fundamental,0.08
G_open,open,G,low,33,attack,97.91547523689435,97.91547523689435,-7.205249317295049,42.82133552998242,1.4357084167225798,fundamental,0.08
G_open,open,G,low,33,stabilization,97.91547523689435,97.91547523689435,-6.393546293878174,41.97354925804485,1.4357084167225798,fundamental,0.14
G_open,open,G,low,33,body,97.91547523689435,97.91547523689435,-5.343237299020203,46.968580448994274,1.4357084167225798,fundamental,0.4
G_open,open,G,low,33,sustain,97.91547523689435,97.91547523689435,-4.788787449740255,49.428341950374204,1.4357084167225798,fundamental,0.3
G_open,open,G,low,33,decay,97.91547523689435,97.91547523689435,-4.446615618294274,44.88524072032233,1.4357084167225798,fundamental,0.08
G_open,open,G,low,34,attack,97.9147161840536,97.9147161840536,-12.26153408545256,44.495692140996226,1.379663597763767,fundamental,0.08
G_open,open,G,low,34,stabilization,97.9147161840536,97.9147161840536,-12.239318037445038,43.81449780555831,1.379663597763767,fundamental,0.14
G_open,open,G,low,34,body,97.9147161840536,97.9147161840536,-11.417207768350494,48.891770474956324,1.379663597763767,fundamental,0.4
G_open,open,G,low,34,sustain,97.9147161840536,97.9147161840536,-10.829001798902055,51.501775633909894,1.379663597763767,fundamental,0.3
G_open,open,G,low,34,decay,97.9147161840536,97.9147161840536,-9.08352173558132,46.82584966431113,1.379663597763767,fundamental,0.08
G_open,open,G,low,35,attack,97.88236272415416,97.88236272415416,-12.897868502173466,41.88732121688657,1.254152869166182,fundamental,0.08
G_open,open,G,low,35,stabilization,97.88236272415416,97.88236272415416,-13.579173265340271,40.44489841599906,1.254152869166182,fundamental,0.14
G_open,open,G,low,35,body,97.88236272415416,97.88236272415416,-13.228225000208056,44.99226014243143,1.254152869166182,fundamental,0.4
G_open,open,G,low,35,sustain,97.88236272415416,97.88236272415416,-12.91495183005523,47.004211312829014,1.254152869166182,fundamental,0.3
G_open,open,G,low,35,decay,97.88236272415416,97.88236272415416,-13.156369896939673,41.8197050242171,1.254152869166182,fundamental,0.08
G_open,open,G,low,36,attack,97.9159915674517,97.9159915674517,-7.266515114967554,46.721538119674676,1.4647426949561295,fundamental,0.08
G_open,open,G,low,36,stabilization,97.9159915674517,97.9159915674517,-7.453563764309848,45.98860006633964,1.4647426949561295,fundamental,0.14
G_open,open,G,low,36,body,97.9159915674517,97.9159915674517,-6.909814536289538,50.64682137589122,1.4647426949561295,fundamental,0.4
G_open,open,G,low,36,sustain,97.9159915674517,97.9159915674517,-6.537330348279866,52.89597739644802,1.4647426949561295,fundamental,0.3
G_open,open,G,low,36,decay,97.9159915674517,97.9159915674517,-6.394369529735606,48.451918354428535,1.4647426949561295,fundamental,0.08
G_open,open,G,low,37,attack,97.90380236642211,97.90380236642211,-3.546312058399863,47.16180862793844,2.0512101972291954,fundamental,0.08
G_open,open,G,low,37,stabilization,97.90380236642211,97.90380236642211,-4.626398067490911,46.29306327187987,2.0512101972291954,fundamental,0.14
G_open,open,G,low,37,body,97.90380236642211,97.90380236642211,-4.460736820498269,51.058765879727304,2.0512101972291954,fundamental,0.4
G_open,open,G,low,37,sustain,97.90380236642211,97.90380236642211,-3.876452508607521,53.115801246417476,2.0512101972291954,fundamental,0.3
G_open,open,G,low,37,decay,97.90380236642211,97.90380236642211,-3.6666646042821194,48.5654367978644,2.0512101972291954,fundamental,0.08
G_open,open,G,low,38,attack,97.90212672516225,97.90212672516225,-11.72447985756606,46.02764089904676,1.547516350685208,fundamental,0.08
G_open,open,G,low,38,stabilization,97.90212672516225,97.90212672516225,-12.174282584903011,45.22810458662732,1.547516350685208,fundamental,0.14
G_open,open,G,low,38,body,97.90212672516225,97.90212672516225,-11.704909468541771,49.87594269039488,1.547516350685208,fundamental,0.4
G_open,open,G,low,38,sustain,97.90212672516225,97.90212672516225,-11.415543982312188,51.981626459604335,1.547516350685208,fundamental,0.3
G_open,open,G,low,38,decay,97.90212672516225,97.90212672516225,-12.265653484611184,46.45722969694926,1.547516350685208,fundamental,0.08
G_open,open,G,low,39,attack,97.91418347156349,97.91418347156349,-7.435679414133411,47.85315042453407,1.4681017305198445,fundamental,0.08
G_open,open,G,low,39,stabilization,97.91418347156349,97.91418347156349,-7.090110399237865,46.84963054980301,1.4681017305198445,fundamental,0.14
G_open,open,G,low,39,body,97.91418347156349,97.91418347156349,-6.721216641267787,51.360863447008015,1.4681017305198445,fundamental,0.4
