pair,event,phase,f0_cafe_hz,f0_azul_hz,amplitude_cafe,amplitude_azul,delta_db,snr_cafe,snr_azul
B_open,7,decay,30.923506934472076,30.935952134546596,0.015858194550266207,0.0030134283051749255,-14.423857564758563,-0.4206611691835343,0.020820315946045602
B_open,8,attack,30.902549060374863,30.87906390951824,0.012292967687726744,0.0033069820335425337,-11.404498092501726,-1.3598008701187683,0.3589769401741787
B_open,8,stabilization,30.902549060374863,30.87906390951824,0.01998701217594416,0.0031312420080339904,-16.10062484571892,-0.5984134221074583,0.4296293213925454
B_open,8,body,30.902549060374863,30.87906390951824,0.01853753997527013,0.0028846693364003614,-16.15912124986015,0.5541309195557527,0.5521576345392574
B_open,8,sustain,30.902549060374863,30.87906390951824,0.016660979240690234,0.0025631240778587494,-16.25861785753257,0.7742241370738562,0.8056712559314505
B_open,8,decay,30.902549060374863,30.87906390951824,0.0158217268673519,0.002448920055615779,-16.205585500705517,0.12121580830289658,0.30721048022194064
B_open,9,attack,30.90505818253352,30.829904540765053,0.01746959516020812,0.004123313161520238,-12.54073040975532,-2.506772826642453,-1.3479820807608964
B_open,9,stabilization,30.90505818253352,30.829904540765053,0.016726241551725397,0.0036723686505669637,-13.169041860000455,-4.15258570312339,-3.2728476946985614
B_open,9,body,30.90505818253352,30.829904540765053,0.015134220889891224,0.0034983452656115184,-12.721947977361658,0.43013763487864404,0.7000441136310692
B_open,9,sustain,30.90505818253352,30.829904540765053,0.013503444732026106,0.0031670719862654556,-12.595732728682684,0.6205090769065781,0.8443895189074329
B_open,9,decay,30.90505818253352,30.829904540765053,0.0126411017306545,0.0031439318477948885,-12.086236065432885,0.615652305880978,0.0803167498380089
B_open,10,attack,30.875941610458153,30.847333358997997,0.011226276370919422,0.0033730314658239956,-10.444306739659197,-0.49868303564881034,-1.9109548593951615
B_open,10,stabilization,30.875941610458153,30.847333358997997,0.010332535792397523,0.003314460522736104,-9.875881354065719,-3.4420296001000468,-2.5623738309509876
B_open,10,body,30.875941610458153,30.847333358997997,0.009633014368143603,0.0029830636346610713,-10.181993804727817,0.389658486708381,0.5184453230265862
B_open,10,sustain,30.875941610458153,30.847333358997997,0.008718299811765369,0.002741870916264774,-10.047695897738919,0.7678236430408538,0.6456234286626716
B_open,10,decay,30.875941610458153,30.847333358997997,0.008620176232302781,0.0025579938153808346,-10.552333091600111,0.1402723959440279,0.40181200495346925
B_open,11,attack,30.929380089741795,30.849018992807125,0.033963363578720734,0.004527262934988174,-17.503499520640858,-1.103921588674738,-0.44054080200779755
B_open,11,stabilization,30.929380089741795,30.849018992807125,0.030535212517609503,0.004008819487545859,-17.635688920153537,-2.942303747589949,-2.097712699119038
