pair,event_cafe,event_azul,time_cafe,time_azul,lag_ms,match_cost,f0_cafe,f0_azul,note_error_cents,confidence,status
E_open,85,82,53.333333333333336,52.230385487528345,-1102.9478458049907,1.3695529946613847,41.13335443711673,41.25394705066799,5.068115691991959,medium,accepted
E_open,86,83,53.95736961451247,52.8108843537415,-1146.4852607709731,1.543838536308061,40.74706690019521,41.06491309713962,13.452037882613066,medium,accepted
E_open,87,84,54.474013605442174,53.38557823129252,-1088.4353741496539,1.3137979809053937,41.85062422860885,41.874053909152856,0.9689439882616656,medium,accepted
E_open,88,86,55.10675736961451,54.53206349206349,-574.6938775510203,1.411150047161865,41.43560591132757,41.33625409303705,-4.156034025461945,medium,accepted
E_open,89,87,55.73369614512472,55.14448979591837,-589.20634920635,1.406543461306452,41.37793853127865,41.39678123396327,0.7881906243847465,medium,accepted
E_open,90,88,56.357732426303855,55.74530612244898,-612.4263038548747,1.4275067589594395,41.349567195329456,41.39798722155775,2.02607577278524,medium,accepted
E_open,91,89,56.92081632653061,56.36353741496599,-557.2789115646231,1.5493366498670122,41.266034352069795,41.47466808143274,8.730759371012834,medium,accepted
E_open,92,90,57.55936507936508,56.946938775510205,-612.4263038548747,1.4719576531184175,41.34198110036049,41.412067152406756,2.932433910828516,medium,accepted
E_open,93,91,58.142766439909295,57.565170068027214,-577.5963718820805,1.4641244840178846,41.17786402383867,41.403502465092735,9.460582719498852,medium,accepted
E_open,94,92,58.72907029478458,58.171791383219954,-557.2789115646231,1.569220931206462,41.23594567908089,41.44130417646518,8.60029463245828,medium,accepted
E_open,95,93,59.33278911564626,58.76680272108843,-565.9863945578252,1.6821779959759908,41.1187254237141,41.53643715947252,17.498312591776916,medium,accepted
E_open,96,94,59.94231292517007,59.34730158730159,-595.0113378684847,1.7052768962020348,41.19204864650493,41.531991478757476,14.228606770768534,medium,accepted
E_open,97,95,60.528616780045354,59.971337868480724,-557.2789115646301,1.7224074818941064,41.2679618639981,41.69626326385829,17.875091411272823,medium,accepted
E_open,98,96,61.13814058956916,60.575056689342404,-563.0839002267578,1.5226000857183501,41.31525119722167,41.46989782684934,6.468064027544184,medium,accepted
E_open,99,97,61.7621768707483,61.13814058956916,-624.0362811791372,1.533114341940795,41.1928987411623,41.20827756671367,0.6462127831484704,medium,accepted
E_open,100,98,62.34848072562358,61.75637188208617,-592.1088435374102,1.6410365882138456,41.166157691077885,41.7057255390236,22.543989435169568,medium,accepted
E_open,101,99,62.934784580498864,62.354285714285716,-580.4988662131478,1.3996246414413003,41.35558229183894,41.44797750642732,3.8635490610130656,medium,accepted
E_open,102,100,63.518185941043086,62.94929705215419,-568.8888888888926,1.3104366701800338,41.358942161582256,41.35961277569349,0.02807084780597787,medium,accepted
A_open,0,3,2.449705215419501,5.767256235827665,3317.5510204081634,1.4848137037717237,54.93167992538368,54.98124455743382,1.561381154305668,medium,accepted
A_open,1,4,3.0650340136054424,6.359365079365079,3294.331065759637,1.4108753242915821,54.94344089847365,55.098393005046084,4.875573782408863,medium,accepted
A_open,2,5,3.6861678004535148,6.957278911564626,3271.1111111111113,1.6870678477648982,54.97253878245843,55.10969407670732,4.314012027446253,medium,accepted
A_open,3,6,4.310204081632653,7.566802721088435,3256.598639455782,1.700667586598476,54.97461700424205,55.11675982984084,4.470516099011804,medium,accepted
A_open,4,7,4.902312925170068,8.153106575963719,3250.7936507936506,1.4774919550272008,54.93899456297934,55.121881042345045,5.75353575677036,medium,accepted
A_open,5,8,5.477006802721088,8.730702947845804,3253.696145124716,1.6653509800626496,54.90610542782681,55.152798138200424,7.760999269695244,medium,accepted
A_open,6,9,6.0778231292517,9.346031746031747,3268.208616780046,1.6735974074534374,54.939800800711495,55.124706059108995,5.816853942767061,medium,accepted
A_open,7,11,6.669931972789116,10.5621768707483,3892.244897959183,1.527719866851233,54.96957753276661,55.09392161904208,3.9117202197638212,medium,accepted
