,Q_30.87,Q_41.2,Q_55,Q_120,Q_250,Q_500,Q_800,Q_1000,Q_1250,Q_1600,Q_2000,Q_3150,Q_5000,Q_8000,gain_model,B,E,A,D,G,C
Q_2000,-0.15624145389486213,-0.268943463565036,-0.237122712916665,-0.40305989483621885,-0.6278145017360302,-0.7613870900084396,-0.3911238049598429,0.7217807809964143,0.9332923583558068,0.976198411981437,0.9999999999999999,0.9159959345694396,0.5513061429028812,0.5270474490967516,0.1482769413741503,-0.17567973449370208,-0.02193480073064687,-0.1251001605747243,-0.05456086414804003,0.02652838659421223,0.20773426978971116
Q_3150,-0.1596233388982049,-0.27198327186006316,-0.21641264909077482,-0.30268676897804164,-0.508563261268662,-0.7068713921238128,-0.4379541570267372,0.5561096637726188,0.7785219581695667,0.8514547446080749,0.9159959345694395,1.0,0.7622184130823777,0.7329951903220162,0.11322630563792549,-0.2035946722818126,-0.03903995498966343,-0.11871971419251948,-0.060118797642459816,0.009030338742235274,0.2530941235612154
Q_5000,-0.16676358514391146,-0.22783757097261306,-0.1441215911455315,-0.16084412943635035,-0.33692363274937726,-0.32403129599225355,-0.39713129694193783,0.25861173270298765,0.4849991690326737,0.5413608589773445,0.5513061429028812,0.7622184130823777,1.0,0.9889496379650646,-0.05469256119705442,-0.1512571786226909,-0.035711365705314524,-0.10473099146834611,-0.016470158396546433,-0.042733678736355,0.226395177455014
Q_8000,-0.20474957230295632,-0.26587725247075883,-0.15995184622757172,-0.13341076996408083,-0.31091276512049426,-0.34311347172172957,-0.3616125647581759,0.2841537639304828,0.47749063458668306,0.5209155139515382,0.5270474490967515,0.7329951903220163,0.9889496379650646,1.0,-0.05111224764406231,-0.1651439010919772,-0.037384238803716045,-0.11900066567743524,0.018520450504321502,-0.03670915695089196,0.22231234211712528
gain_model,-0.08315157303140103,-0.00955714174111823,0.04643299438969202,0.1297112165920551,0.05070911766051552,-0.29386967573022194,-0.2028832323801905,0.05515330094524609,0.09155381745368774,0.11093588663670002,0.14827694137415026,0.1132263056379255,-0.05469256119705442,-0.05111224764406231,0.9999999999999999,0.28519846434160884,0.37598876191467556,0.0876827575756503,0.21907939982676927,0.049311051004021694,-0.660218951971776
B,-0.17223250873075857,0.28704849487705686,0.44929261666455467,0.3070210629533586,-0.043543726731473796,0.17302068185438013,-0.08127467626561663,-0.24430682375538085,-0.1942458165652006,-0.17506638203932456,-0.17567973449370208,-0.2035946722818126,-0.1512571786226909,-0.1651439010919772,0.28519846434160884,1.0,0.10560648326849094,0.0646665050852986,0.05205412448623879,-0.39327855361371294,-0.5251288057129885
E,-0.07251195681768619,0.07562194866094216,0.17104647662151537,0.2147289886886145,-0.06257724358580674,-0.03240874239757777,0.055059272872469096,-0.006444279015080834,-0.020638518131464098,-0.020601152941457954,-0.021934800730646867,-0.03903995498966343,-0.03571136570531453,-0.037384238803716045,0.3759887619146755,0.10560648326849094,1.0,0.05505857956074843,0.0610627779056357,-0.46514445907203666,-0.4732248450422537
A,0.07258474266002024,-0.0018116839723522594,-0.017777536360265318,0.14727769235542215,0.04016388595966033,0.13459554498345316,0.06692730787449797,-0.14844563468364902,-0.1691750602621719,-0.14840558112670663,-0.1251001605747243,-0.11871971419251948,-0.10473099146834611,-0.11900066567743524,0.0876827575756503,0.0646665050852986,0.05505857956074842,1.0,0.13192676196066053,-0.4304770478232622,-0.3055680993508391
D,0.06672691769497727,-0.0002691275518374055,-0.058082082140740815,-0.042318656163757365,0.10995781776561721,-0.032750569628512444,0.054565353158731046,0.06835040531800153,-0.015539398237748296,-0.05203098982390777,-0.05456086414804003,-0.06011879764245983,-0.016470158396546433,0.018520450504321502,0.2190793998267693,0.052054124486238786,0.06106277790563569,0.13192676196066053,1.0,-0.19848114988586948,-0.4843546971485951
G,0.14492432992725038,-0.10391993371825564,-0.26529956810152727,-0.3319076179991122,0.2166356005406137,-0.06372376910244826,-0.04777934684214991,0.06476590884709525,0.07306082268185096,0.047764145573778456,0.026528386594212233,0.009030338742235274,-0.042733678736355,-0.03670915695089196,0.0493110510040217,-0.39327855361371294,-0.4651444590720366,-0.4304770478232621,-0.19848114988586948,1.0,0.12500270957123408
