model,region,n,pairs,mae,rmse,p90,p95
V10_2_NO_SUB,2500-4000,1650,5,14.528821761295582,18.730408469682423,27.878262998312547,35.328351012095595
V10_2_NO_SUB,4000-6300,85,5,17.397784599925775,24.788305259873233,26.49279985037448,37.93812165684154
V10_2_NO_SUB,6300-8000,4,1,6.084687512786236,9.619241061452108,14.768907322719405,17.66602768120495
V10_2_NO_SUB,8000-12000,44,3,7.458859779549275,15.426005609016476,11.805221223746297,27.474117677537535
V10_2_NO_SUB,12000-16000,215,3,8.741795755801867,17.005471409404457,35.45867937468612,45.64867630019093
V10_2_NO_SUB,phase_attack,6013,14,4.505331319102094,6.513015418074487,10.025792832566072,12.992659235332995
V10_2_NO_SUB,phase_body,6670,14,4.834320558932963,7.409443160898559,10.184603435787638,13.44493444556954
V10_2_NO_SUB,phase_decay,3667,14,5.543134919139589,7.878802512611173,12.02664234302438,15.162626169074827
V10_2_NO_SUB,phase_stabilization,5760,14,4.757153703473171,6.860967251114878,10.682858878021534,14.211527883714087
V10_2_NO_SUB,phase_sustain,6011,14,5.27091061160654,7.8042356822894225,10.8487999756344,14.22396707746492
V10_2_NO_HIGH,20-40,485,1,5.430324042877779,6.881678535445729,11.8420973602185,14.195224361038507
V10_2_NO_HIGH,40-60,946,3,4.594613440064227,5.937253065109241,9.921052740218851,12.263330251379918
V10_2_NO_HIGH,60-100,3037,8,4.488093167048222,5.976783749980883,9.78557498792963,12.107764803166654
V10_2_NO_HIGH,100-160,2764,11,4.762925998050556,6.530620634482593,10.39381489103264,13.338308623929825
V10_2_NO_HIGH,160-250,4435,10,5.3272968995592835,7.939668825676714,11.507477189824415,15.253297786728071
V10_2_NO_HIGH,250-400,3039,12,5.133533201038021,9.432049326057786,10.185113547490923,15.816177890573082
V10_2_NO_HIGH,400-630,2339,8,4.516093161254428,8.404293888415106,9.40022634238428,13.276585667743353
V10_2_NO_HIGH,630-1000,2490,7,5.512308170429698,8.26527130519037,11.860428315150783,16.080845964408834
V10_2_NO_HIGH,1000-1600,3232,8,8.039522657112373,11.233949175531828,17.777007577586083,24.406370245075465
V10_2_NO_HIGH,1600-2500,3356,6,12.715415280419943,18.036230216876252,27.974315306815384,35.85863555005244
V10_2_NO_HIGH,2500-4000,1650,5,14.528821761295582,18.730408469682423,27.878262998312547,35.328351012095595
V10_2_NO_HIGH,4000-6300,85,5,17.397784599925775,24.788305259873233,26.49279985037448,37.93812165684154
V10_2_NO_HIGH,6300-8000,4,1,6.084687512786236,9.619241061452108,14.768907322719405,17.66602768120495
V10_2_NO_HIGH,8000-12000,44,3,7.459096819334837,15.426302680223245,11.805802528957372,27.474611641385533
V10_2_NO_HIGH,12000-16000,215,3,8.741980707871749,17.00553864419642,35.45863125063986,45.648660072235664
V10_2_NO_HIGH,phase_attack,6013,14,4.501558382918676,6.510744961720469,9.994137204890949,12.995952531852577
V10_2_NO_HIGH,phase_body,6670,14,4.833659929113671,7.408917237967962,10.167790193095648,13.45779663254419
V10_2_NO_HIGH,phase_decay,3667,14,5.549305202086119,7.883156808510085,12.101850627461886,15.191114843984298
V10_2_NO_HIGH,phase_stabilization,5760,14,4.751874678535169,6.856048315588795,10.63888384044472,14.210837337750508
V10_2_NO_HIGH,phase_sustain,6011,14,5.273784512477146,7.805378396189204,10.846060048898268,14.179199793132744
