setup,run,frequency_hz,transfer_db,median_snr_db
Bajo,1,37.483352682206,15.960842379286914,35.39002769161927
Bajo,1,37.61891744849801,15.963069394248455,35.47176866921374
Bajo,1,37.75497250726774,15.96531805960876,35.570957402947414
Bajo,1,37.891519631739314,15.967615109971007,35.88543377740777
Bajo,1,38.028560601550005,15.96999411269895,36.31965776149494
Bajo,1,38.166097202773464,15.972475990162906,36.806611780995894
Bajo,1,38.304131227942946,15.975048816429258,37.007378717613435
Bajo,1,38.44266447607471,15.977652907807444,37.22613072504299
Bajo,1,38.581698752691466,15.98017634446229,37.411141031813926
Bajo,1,38.721235869845884,15.982463473325726,37.653129911900876
Bajo,1,38.86127764614423,15.984335588387616,37.942732339373194
Bajo,1,39.00182590677006,15.985619599465867,38.34112931536347
Bajo,1,39.142882483508004,15.986178264689013,38.790022024262655
Bajo,1,39.284449214767655,15.985934935042492,39.287564122368735
Bajo,1,39.4265279456075,15.98488713496188,39.787721815626384
Bajo,1,39.56912052775902,15.983105674506561,39.93029037636154
Bajo,1,39.712228819650754,15.980719349397646,39.880867380594395
Bajo,1,39.855854686432586,15.977888325425406,39.87468840980294
Bajo,1,40.0,15.974772383878722,39.96249866742535
Bajo,1,40.14466663901851,15.971501666118982,40.16755391862428
Bajo,1,40.28985648894816,15.968157597437841,40.44852666409565
Bajo,1,40.43557144206802,15.964769140638955,40.68565381451002
Bajo,1,40.58181339750094,15.961325341300217,40.82972350335894
Bajo,1,40.72858426123827,15.957799949451202,40.8963267151334
Bajo,1,40.875885946164665,15.954179920612384,40.89838096118897
Bajo,1,41.02372037208306,15.9504882256682,40.82367769803344
Bajo,1,41.17208946573968,15.946793528691282,40.65950136459421
Bajo,1,41.32099516084914,15.943204230696693,40.48467361769377
Bajo,1,41.470439398119645,15.939849885645655,40.32754705326137
Bajo,1,41.620424125278326,15.936857120937871,39.93939537900123
Bajo,1,41.77095129709655,15.934327627888413,39.4320245221071
Bajo,1,41.92202287541548,15.932323401724414,39.10721090361857
Bajo,1,42.07364082917158,15.930860511160677,38.92846761607489
Bajo,1,42.22580713442228,15.929909919304105,38.84391228458104
Bajo,1,42.3785237743718,15.929403096948155,38.8014522818883
Bajo,1,42.53179273939693,15.929240846451385,38.807007892412734
Bajo,1,42.685616027072946,15.92930460190695,38.816511418014386
Bajo,1,42.83999564219974,15.929469029522588,38.75943936258034
Bajo,1,42.994933596827856,15.929613703316768,38.615240176398096
Bajo,1,43.150431910284794,15.92963074655339,38.364023364480204
Bajo,1,43.30649260920125,15.929426090658591,38.0982919456927
Bajo,1,43.463117727537586,15.9289143057124,37.895924944768566
Bajo,1,43.62030930661031,15.92800955647292,37.542244414698075
Bajo,1,43.77806939511869,15.92661702669509,37.23361666013969
Bajo,1,43.93640004917147,15.924629201055986,37.050364443903625
Bajo,1,44.095303332313634,15.921930018929656,36.950284589397796
Bajo,1,44.25478131555333,15.918407969666674,37.01293923046555
Bajo,1,44.41483607738885,15.913977277024808,37.28320766440231
Bajo,1,44.575469703835694,15.908604350423651,37.603947790713505
Bajo,1,44.736684288453844,15.902334587428117,37.69193291902401
Bajo,1,44.89848193237492,15.895312527265594,37.970307576862204
Bajo,1,45.06086474432968,15.887787454309548,38.3420150979296
Bajo,1,45.22383484067543,15.880098149900219,38.3499125925207
Bajo,1,45.38739434542365,15.87263529360926,38.20775486386668
Bajo,1,45.55154539026766,15.865786866356158,37.9306349377745
Bajo,1,45.7162901146104,15.859878449599558,37.66389075140853
Bajo,1,45.88163066559231,15.855123646489666,37.489625607314984
Bajo,1,46.047569198119305,15.851597809570567,37.43346852692348
Bajo,1,46.214107874890914,15.84924103408294,37.507084322711755
Bajo,1,46.381248866428415,15.84788692514329,37.60136291049348
Bajo,1,46.5489943511031,15.847305566566783,37.489110634060026
Bajo,1,46.71734651516474,15.847246051642378,37.48991554026047
Bajo,1,46.88630755277006,15.847466708501878,37.37049415300952
Bajo,1,47.05587966601125,15.847748312413415,37.230397703101524
Bajo,1,47.22606506494479,15.847893758813186,36.95935798872473
Bajo,1,47.39686596762017,15.847723357157156,36.63047008746122
Bajo,1,47.56828460010884,15.847075787161156,36.43156791123485
Bajo,1,47.74032319653319,15.845820543981116,36.54928029874924
Bajo,1,47.9129839990957,15.843880428320258,36.925777258174634
Bajo,1,48.086269258108125,15.841255386757709,37.31588219584138
