setup,run,frequency_hz,normalized_transfer_db,snr_db
bass,1,31.978080287102046,15.899793446563573,32.16207006967379
bass,1,32.03585511365387,15.900336159324697,32.12327080756119
bass,1,32.09373432203703,15.900858870900086,32.091816668594696
bass,1,32.15171810083828,15.90137051306717,32.06340971156136
bass,1,32.209806638985086,15.901879764971603,32.0340980787973
bass,1,32.268000125746255,15.902394828095817,32.00501184012939
bass,1,32.32629875073255,15.902923201287722,31.97796292810025
bass,1,32.384702703897275,15.903471478194566,31.951552326670537
bass,1,32.443212175536964,15.904045194099774,31.929566148302968
bass,1,32.50182735629194,15.904648705934962,31.909971946347326
bass,1,32.560548437146956,15.905285098285937,31.8933426748536
bass,1,32.61937560943181,15.905956138420441,31.879826715891603
bass,1,32.678309064821995,15.906662305486899,31.86729254741479
bass,1,32.73734899533929,15.907402889077117,31.86085030605705
bass,1,32.7964955933524,15.908176139742949,31.858827616956688
bass,1,32.85574905157759,15.908979473526491,31.85908905868033
bass,1,32.9151095630793,15.909809741389113,31.864291617913555
bass,1,32.97457732127078,15.910663543011486,31.875468557790924
bass,1,33.03415251991472,15.911537548735701,31.88946476618866
bass,1,33.093835353123886,15.912428813812554,31.904344426547844
bass,1,33.153626015361745,15.913335067735973,31.92321007213326
bass,1,33.213524701443106,15.914254953561864,31.94995579293936
bass,1,33.273531606534725,15.915188179322053,31.98100771356446
bass,1,33.33364692615601,15.916135566015189,32.01273666292198
bass,1,33.393870856179575,15.917098999001766,32.04265328673722
bass,1,33.45420359283193,15.918081259606248,32.07225201938448
bass,1,33.514645332694116,15.919085754601403,32.099604460288276
bass,1,33.575196272702335,15.920116152533536,32.123008122377264
bass,1,33.63585661014858,15.921175985493049,32.14053081611776
bass,1,33.69662654268131,15.922268211786879,32.1525072222091
bass,1,33.75750626830606,15.923394793441734,32.154199352117374
bass,1,33.81849598538611,15.924556336512975,32.14371334514566
bass,1,33.87959589264312,15.925751824779978,32.121118778944805
bass,1,33.94080618915778,15.926978467736324,32.0866766635515
bass,1,34.00212707437047,15.928231658693205,32.03888057513443
bass,1,34.06355874808189,15.929505072887192,31.98184368368684
bass,1,34.12510141045371,15.930790913084998,31.916294491686344
bass,1,34.18675526200926,15.932080241666284,31.848668610395144
bass,1,34.24852050363412,15.933363366084828,31.777565113756197
bass,1,34.31039733657685,15.934630293134953,31.701941371247493
bass,1,34.372385962449556,15.93587120398809,31.628608590377286
bass,1,34.434486583228654,15.937076899447534,31.55865190002332
bass,1,34.49669940125543,15.938239168253876,31.499784596480588
bass,1,34.55902461923675,15.939351106667635,31.449597335237115
bass,1,34.62146244024572,15.940407372935347,31.41365269047244
bass,1,34.68401306772233,15.941404340880315,31.393096864693643
bass,1,34.74667670547412,15.942340140011412,31.389594924009437
bass,1,34.80945355767687,15.943214624189933,31.396439250124377
bass,1,34.87234382887522,15.944029293712394,31.415468306573842
bass,1,34.93534772398338,15.944787140302319,31.443922073397765
bass,1,34.99846544828576,15.9454924162532,31.47987659065407
bass,1,35.061697207437675,15.946150377611223,31.51809809568509
bass,1,35.12504320746599,15.946767036990495,31.55526037877323
bass,1,35.1885036547698,15.947348877821687,31.600274274989477
bass,1,35.2520787561211,15.947902555474244,31.653377335873905
bass,1,35.31576871866545,15.948434622548964,31.71160147283192
bass,1,35.3795737499227,15.94895130378139,31.77250637020732
bass,1,35.443494057787575,15.949458291311073,31.84003989276899
bass,1,35.507529850530425,15.949960563686247,31.908614976189973
bass,1,35.571681336797894,15.950462284039096,31.96699510135131
bass,1,35.635948725613574,15.95096676279213,32.016585942982225
bass,1,35.7003322263787,15.95147647623183,32.073316286205724
bass,1,35.76483204887283,15.95199314474506,32.13491580549723
bass,1,35.82944840325457,15.95251787052045,32.191626746253576
bass,1,35.894181500062146,15.953051339734094,32.23962920911631
bass,1,35.95903155021422,15.953594038560611,32.28392421733248
bass,1,36.02399876501051,15.954146494548867,32.32493800191287
bass,1,36.08908335613248,15.954709502727468,32.356129179244206
bass,1,36.154285535644036,15.955284323430607,32.38368810054064
bass,1,36.21960551599224,15.95587281315258,32.42513140118739
bass,1,36.285043510007974,15.956477504546664,32.485637046392895
bass,1,36.35059973090662,15.957101585318174,32.55693816599491
bass,1,36.41627439228881,15.957748776615455,32.63783631512369
bass,1,36.48206770814107,15.95842313786998,32.7404542528531
bass,1,36.54797989283652,15.95912880894951,32.86085055221231
bass,1,36.614011161135636,15.959869684508208,32.98785979014439
bass,1,36.680161728186846,15.960649061924284,33.12350495658102
bass,1,36.74643180952734,15.961469328742446,33.2772341294292
bass,1,36.812821621083664,15.962331713874711,33.43004454275457
bass,1,36.87933137917252,15.963236087881455,33.56331150964179
bass,1,36.945961300501416,15.964180882573112,33.685002919541766
bass,1,37.0127116021694,15.965163162888025,33.8155124300781
bass,1,37.07958250166771,15.966178821397115,33.9562550584254
bass,1,37.14657421688058,15.967222854315317,34.09706212154702
bass,1,37.21368696608587,15.968289751066445,34.24676194682165
bass,1,37.28092096795578,15.969373960979897,34.414210430996555
bass,1,37.34827644155763,15.970470363961958,34.57707329060564
bass,1,37.41575360635451,15.971574691688998,34.7281041503842
bass,1,37.483352682206,15.972683888009739,34.877969011556125
bass,1,37.551073889368915,15.973796389138778,35.03635753425418
bass,1,37.61891744849801,15.974912237365352,35.196037196413556
bass,1,37.68688358064669,15.976033015880084,35.34763874177462
bass,1,37.75497250726774,15.977161651342092,35.52467024867098
bass,1,37.82318445021404,15.97830207049846,35.73608605357575
bass,1,37.891519631739314,15.979458688135017,35.969157134711054
bass,1,37.959978274498795,15.98063580108083,36.222095537866515
bass,1,38.028560601550005,15.981836933342954,36.52107417268348
bass,1,38.097266836353484,15.983064169017265,36.85865163037484
bass,1,38.166097202773464,15.984317500238069,37.12255527644005
bass,1,38.23505192507866,15.985594268415165,37.138915671735326
bass,1,38.304131227942946,15.986888745032559,37.14919614648466
bass,1,38.37333533644615,15.988191881711835,37.17159636855834
bass,1,38.44266447607471,15.989491254163699,37.20260888808736
bass,1,38.5121188727225,15.990771218566064,37.211291608241936
bass,1,38.581698752691466,15.992013288660635,37.205987349227854
bass,1,38.65140434269246,15.993196722310367,37.20898098522291
bass,1,38.721235869845884,15.994299272125836,37.21846822899978
bass,1,38.79119356168253,15.995298053668975,37.22824522449566
bass,1,38.86127764614423,15.996170517798332,37.24939119965999
bass,1,38.93148835158466,15.996895449073689,37.28683255820816
