setup,gains_db,mc_worst_mean,mc_worst_p95,mc_global_mean,mc_global_p95,mc_p95_error_p95,mc_max_reliable_p95,prob_p95_gt_0_5,prob_p95_gt_1,prob_p95_gt_2
Bajo,"[15.5, 2.5, -2.0, 14.5, -2.5]",0.8004121388668652,0.9564499000751829,0.5041065516441398,0.6343364625966151,1.2136413631287386,1.7440903438794588,1.0,0.5208333333333334,0.0
Bajo,"[15.0, 3.0, -2.0, 14.5, -2.5]",0.7969589945023223,1.0003660259896252,0.5137859574768756,0.6446169754470831,1.235267176120103,1.7173889349667741,1.0,0.5833333333333334,0.0
Bajo,"[15.5, 2.0, -0.5, 13.0, -1.5]",0.7924637124019714,0.9614230463887472,0.5172203309119451,0.6050935893421108,1.2175118442609285,1.7266815274271294,1.0,0.6041666666666666,0.0
Bajo,"[15.5, 2.0, -0.5, 13.5, -2.0]",0.8415277629266198,1.0543093938815167,0.580952414260078,0.7001816056239252,1.3776927698877874,1.6391631581586028,1.0,0.8854166666666666,0.0
Bajo,"[14.5, 4.0, -3.5, 15.5, -3.0]",0.8479570952075974,1.0178672496892351,0.4847300627756037,0.5721915389012946,1.2372142559463877,1.7529094548946873,1.0,0.6770833333333334,0.0
Bajo,"[16.0, 1.0, 2.0, 10.5, 0.0]",1.0115634210059508,1.2537695452444715,0.697224764452792,0.8638752919795435,1.5173872549930076,1.715362109552361,1.0,1.0,0.0
Bajo,"[15.5, 2.0, 0.0, 12.0, -0.5]",0.9370703370949199,1.0986102477759325,0.5397531686497148,0.6505957866956604,1.4360103926832901,2.05819676445731,1.0,0.9583333333333334,0.0
Híbrido,"[-2.0, 4.0, 2.0, 11.0, -0.5]",0.798065324050694,0.9767704964309264,0.598740070686182,0.6496830806648775,1.3181751335835594,1.6338848737045575,1.0,0.8854166666666666,0.0
Híbrido,"[-3.0, 5.5, 0.5, 12.0, -1.0]",0.8111395872869908,0.994826280987357,0.5770781372238685,0.6185288562291413,1.2626436660585392,1.7849361513152922,1.0,0.7708333333333334,0.0
Híbrido,"[-1.5, 3.0, 3.5, 9.5, 0.5]",0.8240018667122365,0.9865395148907226,0.5786631247336494,0.6444530727526863,1.3636516638715959,1.7344758220597098,1.0,0.9166666666666666,0.0
Híbrido,"[-2.0, 3.5, 2.5, 10.5, 0.0]",0.7822491649177339,0.9175417442556081,0.6087010334512584,0.6447631812531818,1.2378460758693177,1.797340089448443,1.0,0.9166666666666666,0.0
Híbrido,"[-2.5, 4.5, 1.5, 11.5, -1.0]",0.8126651020979597,0.9623180896126057,0.6008496736132799,0.6460481722023279,1.3130716387243884,1.572830596255862,1.0,0.90625,0.0
Híbrido,"[-1.5, 2.5, 4.0, 9.0, 1.0]",0.808564440331649,0.9729386376569208,0.5887918484592585,0.636943208452789,1.347606777238905,1.8972545118384418,1.0,0.84375,0.0
Híbrido,"[-3.0, 5.0, 2.0, 10.5, 0.0]",0.841831930974788,1.0262402909613988,0.5706723051450101,0.6537860614314952,1.4133358855691152,1.8286724417676905,1.0,0.9895833333333334,0.0
Híbrido,"[-2.0, 3.5, 2.0, 11.0, -0.5]",0.8033593570475318,0.9741104558345748,0.6665722482272924,0.7253934947287418,1.332244794456374,1.6702665402780272,1.0,1.0,0.0
Híbrido,"[-1.5, 2.5, 5.0, 8.0, 1.5]",0.8608975476755173,0.9981645317944564,0.5753433446167721,0.6393494153182115,1.3883768179544334,1.7593534206505075,1.0,1.0,0.0
Híbrido,"[-2.0, 3.5, 2.0, 10.5, 0.0]",0.869767984113218,1.0601360924400496,0.6823676374792974,0.7645747138902684,1.4163234613273086,1.8031914515508913,1.0,1.0,0.0
Híbrido,"[-1.5, 3.0, 4.0, 8.5, 1.5]",0.8837881322771658,1.0527179405169438,0.537606882869344,0.6008403175069779,1.2913880064990182,2.01460949786633,1.0,0.90625,0.0
Híbrido,"[-1.5, 2.5, 4.0, 9.5, 0.5]",0.8486888791830701,1.0328577823275973,0.6273795929312321,0.6953790962768029,1.5325501702224615,1.7774244891567819,1.0,0.9479166666666666,0.0
Híbrido,"[-2.0, 3.5, 2.0, 11.5, -1.0]",0.8395798127204083,0.9489853166434339,0.6786560966846998,0.7154434677327002,1.328110083804265,1.558624752739244,1.0,1.0,0.0
Híbrido,"[-1.5, 2.5, 4.5, 8.5, 1.0]",0.8978115977298371,1.1365374622681856,0.5791625495902709,0.6269525211725104,1.4350537727156039,1.7461053341300083,1.0,1.0,0.0
Híbrido,"[-1.0, 2.0, 5.5, 6.5, 3.0]",0.971504230596917,1.073955805749457,0.5019441063644922,0.5333371750244178,1.3202169878064953,2.1548828030799356,1.0,0.9479166666666666,0.0
Híbrido,"[-0.5, 0.5, 8.0, 3.5, 5.5]",1.1625998382747929,1.3074273104538838,0.4837881251488841,0.5316294482159634,1.5763709651604203,2.611472669682476,1.0,1.0,0.0
Híbrido,"[-1.0, 1.5, 6.5, 5.5, 4.0]",1.0840727199236249,1.2707111415595311,0.49130745173634116,0.5573141130346767,1.5330552446849228,2.47409628116098,1.0,0.9895833333333334,0.0
Guitarra,"[-9.0, 3.5, 3.5, 10.0, 0.0]",0.7094654015277904,0.8308556748914255,0.49447551248668226,0.5547583803495779,1.232176183748845,1.6569790321178246,1.0,0.53125,0.0
Guitarra,"[-9.5, 4.5, 2.0, 11.5, -1.0]",0.699136417050612,0.8992249263990113,0.5058830170452621,0.581449566042458,1.2405246622563493,1.6699912127635967,1.0,0.4270833333333333,0.0
Guitarra,"[-10.0, 5.0, 1.5, 12.0, -1.5]",0.7295388080712802,0.9006884623916949,0.5095125193072478,0.5884738665434426,1.2803415880415865,1.540659098229281,1.0,0.5416666666666666,0.0
Guitarra,"[-10.0, 5.5, 0.5, 13.0, -2.0]",0.6745410216113091,0.7910707281415194,0.5189451390988874,0.5612097220968091,1.1842454318590978,1.623691235930054,1.0,0.3229166666666667,0.0
Guitarra,"[-11.0, 6.5, 0.0, 13.0, -2.0]",0.7120484463366217,0.8944536894328027,0.47679207812567287,0.5317922572424632,1.1821320272731002,1.599886205220461,1.0,0.4166666666666667,0.0
Guitarra,"[-10.5, 6.0, 0.5, 12.5, -1.5]",0.7198572450454598,0.8895708210567699,0.47310406250885384,0.5213662025239436,1.1499336329722045,1.7233946118841401,1.0,0.3125,0.0
Guitarra,"[-10.5, 5.5, 2.0, 11.0, -0.5]",0.7508443155465244,0.9382006701766394,0.478283083351649,0.559484816688543,1.265834278316033,1.765427699034136,1.0,0.7291666666666666,0.0
Guitarra,"[-9.5, 4.0, 3.0, 10.5, -0.5]",0.7439550858477687,0.9031360237803183,0.499829373005288,0.5570060419292564,1.2195028251000868,1.5393253330989336,1.0,0.75,0.0
Guitarra,"[-9.5, 4.0, 2.5, 11.0, -0.5]",0.721678341223476,0.8845912402543119,0.5240660971715217,0.5858270978195851,1.240991650950843,1.7937602141697209,1.0,0.4166666666666667,0.0
Guitarra,"[-9.5, 4.0, 3.5, 9.5, 0.5]",0.7822000266185603,1.0317959206059188,0.461296972084865,0.5272924388441997,1.2783601010073347,1.8398458131046376,1.0,0.65625,0.0
Guitarra,"[-10.0, 5.0, 0.5, 13.0, -2.0]",0.7048368186850468,0.7693863859889074,0.5912950478214857,0.6354099179556634,1.1482020038865457,1.5827644364361972,1.0,0.8229166666666666,0.0
Guitarra,"[-9.5, 4.0, 2.5, 11.5, -1.5]",0.7883857157128885,0.9366679672532163,0.5652601248154171,0.6212844348838577,1.3531753185462094,1.491435973918652,1.0,0.9479166666666666,0.0
Guitarra,"[-10.0, 5.0, 0.5, 12.5, -1.5]",0.7598591172453574,0.9187006134795136,0.6158727398535535,0.7016001761769302,1.2928097866684618,1.7522474451069163,1.0,1.0,0.0
Guitarra,"[-10.5, 5.5, 2.0, 10.5, 0.0]",0.8206058522788497,0.9906704199268557,0.45523360142147345,0.5041175485514109,1.2339526292854426,1.8656953354819183,1.0,0.6875,0.0
Guitarra,"[-10.0, 5.0, 0.5, 13.5, -3.0]",0.7935559289670744,0.9172211860428815,0.6159135263486958,0.6523578180908944,1.2370274087823965,1.431200948491913,1.0,0.8333333333333334,0.0
Guitarra,"[-9.0, 3.0, 5.0, 7.5, 2.5]",0.9917836605692815,1.144409613320535,0.425378468385222,0.49348513305209407,1.2594618064679233,2.2434500531164403,1.0,0.8020833333333334,0.0
Guitarra,"[-10.0, 4.5, 3.0, 9.5, 1.0]",0.9163325982985415,1.1139248191322235,0.4411364410758976,0.5025248138315198,1.2283256489834116,2.100298369161867,1.0,0.75,0.0
