setup,run,fundamental_hz,reference_harmonic_ratio_db,pedal_on_harmonic_ratio_db,harmonic_excess_on_minus_off_db
hybrid,2,1000.0,-55.69151139312087,-61.270674792702735,-5.579163399581859
hybrid,2,2000.0,-54.11902845925569,-66.3025952257778,-12.183566766522112
hybrid,2,4000.0,-58.94421624498917,-73.77508761667032,-14.830871371681148
hybrid,2,7000.0,,,
hybrid,3,100.0,-62.77184611045929,-51.78692186330535,10.984924247153947
hybrid,3,250.0,-59.76475859279648,-54.75114249521284,5.013616097583648
hybrid,3,500.0,-59.421948385815064,-62.474182561719836,-3.0522341759047715
hybrid,3,1000.0,-58.92657345623963,-61.93816033492066,-3.0115868786810367
hybrid,3,2000.0,-69.74932310904548,-65.918102731239,3.8312203778064697
hybrid,3,4000.0,-71.0205976029968,-76.24568635650321,-5.225088753506405
hybrid,3,7000.0,,,
hybrid,4,100.0,-63.79230307306859,-51.69432779833124,12.097975274737344
hybrid,4,250.0,-65.11092871871735,-54.94803520611006,10.162893512607283
hybrid,4,500.0,-60.983503179140364,-61.59865246453364,-0.6151492853932797
hybrid,4,1000.0,-59.35303996053962,-61.33890752940709,-1.9858675688674674
hybrid,4,2000.0,-54.84054498042114,-66.75043110633929,-11.909886125918138
hybrid,4,4000.0,-58.84731746248305,-70.01079766935945,-11.163480206876404
hybrid,4,7000.0,,,
guitar,1,100.0,-66.19533170360302,-47.398207421252785,18.797124282350232
guitar,1,250.0,-67.21501201675524,-49.72928181097262,17.48573020578262
guitar,1,500.0,-67.9891496294702,-56.21972676178459,11.76942286768562
guitar,1,1000.0,-66.38680261829322,-60.777003860363614,5.609798757929604
guitar,1,2000.0,-63.49219942385083,-65.6152770183844,-2.123077594533568
guitar,1,4000.0,-59.44386708514469,-80.3354805460082,-20.8916134608635
guitar,1,7000.0,,,
guitar,2,100.0,-67.10612989540812,-47.75200587178409,19.35412402362404
guitar,2,250.0,-61.278483176097176,-49.81533846058771,11.463144715509463
guitar,2,500.0,-62.87493654330012,-56.092687919006785,6.782248624293336
guitar,2,1000.0,-55.69151139312087,-61.51521528180609,-5.823703888685216
guitar,2,2000.0,-54.11902845925569,-66.58204581256618,-12.463017353310486
guitar,2,4000.0,-58.94421624498917,-74.58982729216896,-15.645611047179797
guitar,2,7000.0,,,
guitar,3,100.0,-62.77184611045929,-47.898248018407784,14.873598092051516
guitar,3,250.0,-59.76475859279648,-50.45099777694479,9.313760815851692
guitar,3,500.0,-59.421948385815064,-57.40108875981592,2.020859625999136
guitar,3,1000.0,-58.92657345623963,-62.306325193770355,-3.3797517375307295
guitar,3,2000.0,-69.74932310904548,-66.67119736122781,3.078125747817666
guitar,3,4000.0,-71.0205976029968,-77.22300110557035,-6.202403502573551
