frequency_hz,pair_first_db,pair_mad_db,n_pairs,attack_db,sustain_db,attack_sustain_disagreement_db
949.4724189267808,2.993699804354634,7.933504057033394,14,3.19119547432243,4.456726686770167,1.265531212447737
957.6519321350809,2.993735084821437,7.933606137892856,14,2.8361176929334726,4.456657836923064,1.6205401439895915
965.9019101983795,2.993770188836709,7.933707999577265,14,2.7927161011654285,4.456592081330525,1.6638759801650966
974.2229601571757,2.9938051188479973,7.933809645731194,14,2.5174679938013287,4.4565293573416085,1.9390613635402798
982.6156942815035,2.9938398772618977,7.933911079938501,14,2.1277857614656277,4.456469603414687,2.3286838419490596
991.0807301159759,2.9938744664448813,7.934012305723544,14,2.082286433152188,4.456412759098551,2.374126325946363
999.6186905252287,2.99390888872408,7.934113326552393,14,2.0469248963335254,4.456358765013835,2.40943386868031
1008.2302037397534,2.993943146388082,7.934214145833961,14,2.034146453607796,4.456307562834759,2.422161109226963
1016.9159034021175,2.993977241687684,8.84143262449469,14,2.024192617866168,4.456259095271172,2.4320664774050034
1025.676428613591,2.9907982699883573,9.12479277419185,14,2.014032196106384,4.4562133060509055,2.4421811099445216
1034.5124239811762,2.991765994138443,9.733734111896043,14,2.0074666213939056,4.456170139902423,2.4487035185085175
1043.4245396650306,2.991801510197315,9.770035425859158,14,2.008095735866673,4.456129542537762,2.448033806671089
1052.4134314263106,2.9918372075238664,9.770233414454713,14,2.0087275094407895,4.456091460635761,2.447363951194972
1061.4797606754255,2.991874070155915,9.77042963755549,14,2.0093619815236385,4.456055841825579,2.4466938603019406
1070.6241945206991,2.991912877985941,9.770624130133385,14,2.009999191424402,4.456022634670481,2.4460234432460792
1079.8474058174581,2.991954870310389,9.770816926708887,14,2.010639178358328,4.455991788651905,2.4453526102935768
1089.1500732175468,2.9920020171967283,9.771008061357378,14,2.0112819814509897,4.455963254153799,2.4446812727028093
1098.5328812192502,2.9920574511338724,9.77119756771466,14,2.01192763974246,4.4559369824472155,2.4440093427047556
