pair,event,event_confidence_v18,class_weight,note_weight,lag_weight
A_open,81,0.7725300848646226,1.0,0.8931832414063331,0.739454094292805
A_open,82,0.7352074530186029,1.0,0.8844332573215395,0.7369727047146414
A_open,83,0.7855493947518921,1.0,0.9000759008652619,0.7400744416873463
A_open,84,0.7250806178569736,1.0,0.887290158089762,0.7338709677419364
A_open,85,0.8112558346872041,1.0,0.9150000569663542,0.7450372208436735
A_open,87,0.7738086983282186,1.0,0.9701433322023443,0.6110421836228297
A_open,88,0.7690018191219673,1.0,0.8867114686765516,0.6160049627791571
A_open,89,0.6134737583509701,1.0,0.8897519827476706,0.6222084367245653
A_open,90,0.7522289999424931,1.0,0.8766166412145,0.6246898263027305
A_open,91,0.7198341684788107,1.0,0.8930262381956329,0.6265508684863528
A_open,92,0.7863242391792844,1.0,0.9335267608149246,0.6271712158808942
A_open,93,0.7567155801287985,1.0,0.9187436641392251,0.6228287841191082
A_open,94,0.7947235454179163,1.0,0.9128159298723857,0.6197270471464018
A_open,95,0.7412404300805477,0.7,0.8994810735796531,0.7431761786600513
A_open,96,0.7775932391348923,0.7,0.9061985582475633,0.8765508684863521
A_open,97,0.7484673754814608,0.7,0.9182676763314157,0.8765508684863537
A_open,98,0.7792669804218519,0.7,0.9185686053956285,0.8728287841191059
A_open,99,0.7271333659748207,0.7,0.9066888796939214,0.8660049627791563
A_open,100,0.7754625450908045,0.7,0.9320605126206285,0.8746898263027313
A_open,101,0.7346680679133286,0.7,0.9064267279770066,0.8722084367245646
Am7,0,0.7738835025008527,1.0,0.6666666666666667,0.9955250119865751
Am7,1,0.6960174928881785,1.0,0.6666666666666667,0.9739092216717273
Am7,2,0.723078673981471,1.0,0.6666666666666667,0.7512386127537162
Am7,3,0.7527839803536074,1.0,0.6666666666666667,0.7512386127537157
Am7,4,0.5805516382182515,1.0,0.6666666666666667,0.7769697938309097
Am7,5,0.749540426401372,1.0,0.6666666666666667,0.7512386127537154
Am7,6,0.7157022845756905,1.0,0.6666666666666667,0.7512386127537162
Am7,8,0.8968310113131464,1.0,0.6666666666666667,0.9955250119865753
Am7,9,0.7841799930576282,1.0,0.6666666666666667,0.9789036279367107
Am7,10,0.7884253448377285,1.0,0.6666666666666667,0.9844574077033718
Am7,11,0.7402089516196614,1.0,0.6666666666666667,0.9929678759789032
Am7,13,0.6891088173393312,1.0,0.6666666666666667,0.7436471152309414
Am7,14,0.7003326800737135,1.0,0.6666666666666667,0.7653827712961483
Am7,15,0.7436537278151005,1.0,0.6666666666666667,0.7436471152309405
Am7,16,0.6281159749197268,1.0,0.6666666666666667,0.4751478344254435
Am7,17,0.6356793691379138,1.0,0.6666666666666667,0.47131213041393505
Am7,18,0.5327047859340075,1.0,0.6666666666666667,0.4650391561451164
Am7,20,0.5523448441660679,1.0,0.6666666666666667,0.7377337382132002
Am7,21,0.6989053096503678,1.0,0.6666666666666667,0.7615470672846409
Am7,22,0.6820289293796263,1.0,0.6666666666666667,0.7487613872462846
Am7,23,0.7164659645538116,1.0,0.6666666666666667,0.7474828192424483
Am7,24,0.5718934391762862,1.0,0.6666666666666667,0.7334185712002554
Am7,25,0.7101921217154421,1.0,0.6666666666666667,0.728304299184913
Am7,27,0.6032100032960418,1.0,0.6666666666666667,0.9661179478983549
Am7,28,0.7343190713617677,1.0,0.6666666666666667,0.9801821959405459
Am7,29,0.7820132168707776,1.0,0.6666666666666667,0.9844574077033713
Am7,30,0.7497239136282531,1.0,0.6666666666666667,0.9844574077033713
Am7,32,0.7107533196901894,1.0,0.6666666666666667,0.7346971392040915
