frequency_hz,eq_copy_db,eq_before_air_taper_db,source_variant,air_policy,smoothing,pipeline_version
4792.004035902365,3.2429023367088043,3.2429023367088043,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4800.094372007568,3.240358368676966,3.240358368676966,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4808.198367019944,3.2229152312627534,3.2229152312627534,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4816.316043999813,3.193850663464623,3.193850663464623,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4824.447426046428,3.164786095666493,3.164786095666493,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4832.5925362980415,3.1357215278683626,3.1357215278683626,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4840.751397931969,3.1066569600702323,3.1066569600702323,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4848.924034164657,3.091274303819164,3.091274303819164,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4857.110468251749,3.0909102669103103,3.0909102669103103,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4865.310723488149,3.090546230001456,3.090546230001456,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4873.524823208092,3.090182193092601,3.090182193092601,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4881.752790785206,3.089818156183748,3.089818156183748,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4889.994649632584,3.089451532444613,3.089451532444613,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4898.250423202842,3.0890808902372875,3.0890808902372875,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4906.520134988196,3.0887102480299617,3.0887102480299617,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4914.803808520523,3.088339605822636,3.088339605822636,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4923.101467371425,3.08796896361531,3.08796896361531,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4931.413135152306,3.087917811719135,3.087917811719135,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4939.738835514427,3.0885893947295706,3.0885893947295706,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4948.078592148983,3.089260977740006,3.089260977740006,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4956.432428787168,3.089932560750442,3.089932560750442,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4964.800369200237,3.0906041437608778,3.0906041437608778,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4973.182437199582,3.0914023152413765,3.0914023152413765,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4981.578656636793,3.0926454990626784,3.0926454990626784,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4989.9890514037315,3.093888682883977,3.093888682883977,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
4998.4136454325935,3.0951318667052803,3.0951318667052803,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5006.852462695979,3.0963750505265817,3.0963750505265817,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5015.305527206962,3.099115989116631,3.099115989116631,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5023.77286301916,3.111341405095594,3.111341405095594,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5032.254494226796,3.1235668210745566,3.1235668210745566,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5040.750444964773,3.1357922370535194,3.1357922370535194,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5049.260739408743,3.1480176530324817,3.1480176530324817,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5057.785401775171,3.1599246727406944,3.1599246727406944,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5066.324456321407,3.1659431171181565,3.1659431171181565,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5074.877927345756,3.1719615614956185,3.1719615614956185,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5083.445839187544,3.177980005873081,3.177980005873081,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5092.0282162271915,3.183998450250543,3.183998450250543,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5100.6250828862785,3.1900168946279925,3.1900168946279925,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5109.236463627616,3.1688209599157853,3.1688209599157853,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5117.862382955317,3.1466733884871445,3.1466733884871445,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5126.502865414863,3.124525817058504,3.124525817058504,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5135.157935593176,3.1023782456298634,3.1023782456298634,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5143.827618118689,3.080230674201223,3.080230674201223,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5152.511937661416,3.0775735617848765,3.0775735617848765,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5161.210918933018,3.0775458342377364,3.0775458342377364,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5169.924586686879,3.0775181066905968,3.0775181066905968,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5178.652965718174,3.0774903791434567,3.0774903791434567,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5187.39608086394,3.0774626515963166,3.0774626515963166,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5196.1539570031455,3.077434172356106,3.077434172356106,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5204.926619056762,3.0774055005264414,3.0774055005264414,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5213.714091987837,3.077376828696776,3.077376828696776,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5222.516400801559,3.077348156867111,3.077348156867111,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5231.333570545338,3.0773194850374463,3.0773194850374463,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5240.165626308867,3.0772899583685467,3.0772899583685467,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5249.012593224201,3.077260084171676,3.077260084171676,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5257.8744964658235,3.0772302099748057,3.0772302099748057,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5266.751361250721,3.0772003357779347,3.0772003357779347,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5275.643212838453,3.077170461581064,3.077170461581064,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5284.550076531225,3.138924678055365,3.138924678055365,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5293.471977673962,3.2376103140742307,3.2376103140742307,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5302.408941654377,3.336295950092992,3.336295950092992,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5311.360993903044,3.434981586111857,3.434981586111857,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5320.328159893474,3.533667222130722,3.533667222130722,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5329.310465142182,3.5796575019624077,3.5796575019624077,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5338.307935208765,3.5809029628689792,3.5809029628689792,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5347.320595695973,3.5821484237755508,3.5821484237755508,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5356.348472249777,3.5833938846821227,3.5833938846821227,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5365.3915905594495,3.5846393455886947,3.5846393455886947,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5374.449976357634,3.5859529961801875,3.5859529961801875,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5383.523655420417,3.5873480897961034,3.5873480897961034,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5392.612653567403,3.58874318341202,3.58874318341202,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5401.716996661788,3.590138277027936,3.590138277027936,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5410.836710610433,3.59153337064385,3.59153337064385,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5419.971821363939,3.5929908327945967,3.5929908327945967,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5429.122354916716,3.594554203262662,3.594554203262662,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5438.288337307063,3.596117573730728,3.596117573730728,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5447.469794617237,3.597680944198793,3.597680944198793,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5456.666752973534,3.599244314666859,3.599244314666859,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5465.879238546354,3.629387069744995,3.629387069744995,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5475.1072775502835,3.731036799524584,3.731036799524584,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5484.350896244172,3.832686529304172,3.832686529304172,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5493.610120931185,3.9343362590837607,3.9343362590837607,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5502.884977958911,4.035985988863349,4.035985988863349,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5512.175493719417,4.117252031583695,4.117252031583695,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5521.48169464933,4.117219226041922,4.117219226041922,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5530.803607229905,4.117186420500149,4.117186420500149,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5540.141257987108,4.117153614958377,4.117153614958377,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5549.4946734916875,4.117120809416604,4.117120809416604,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5558.863880359255,4.117087949941369,4.117087949941369,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5568.248905250352,4.117054676960545,4.117054676960545,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5577.649774870535,4.117021403979721,4.117021403979721,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5587.066515970445,4.116988130998897,4.116988130998897,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
5596.499155345888,4.116954858018073,4.116954858018073,v19_presence_robust+v20_hard_10k,v20_hard_10k,none,V20.0-operative
