pair,family,string,register,event,phase,f,f0,y,snr,match_cost,kind,weight_base,harmonic,frequency_cafe,frequency_azul
A_12,fret12,A,low,5,attack,661.4727412210318,109.784415820448,26.946455764391757,16.24050485280305,2.194992511919396,tonal_harmonic,0.002,6,660.8001708984375,662.14599609375
A_12,fret12,A,low,5,attack,768.461472585353,109.784415820448,16.687898187384484,15.67245876325336,2.194992511919396,tonal_harmonic,0.002,7,765.7745361328125,771.1578369140625
A_12,fret12,A,low,5,attack,1102.2275484476243,109.784415820448,33.511518630898784,15.749710282906861,2.194992511919396,tonal_harmonic,0.002,10,1099.5391845703125,1104.9224853515625
A_12,fret12,A,low,5,attack,1213.2597340906993,109.784415820448,29.19072140407058,20.017272391936174,2.194992511919396,tonal_harmonic,0.002,11,1211.24267578125,1215.2801513671875
A_12,fret12,A,low,5,attack,1323.6175401346072,109.784415820448,23.605066362505646,14.820282158777658,2.194992511919396,tonal_harmonic,0.002,12,1321.600341796875,1325.6378173828125
A_12,fret12,A,low,5,attack,1433.975324625558,109.784415820448,31.57695415435297,14.891328112405503,2.194992511919396,tonal_harmonic,0.002,13,1431.9580078125,1435.9954833984375
A_12,fret12,A,low,5,stabilization,550.4425048828125,109.784415820448,11.622469086928895,11.219149001571118,2.194992511919396,tonal_harmonic,0.01303024157561687,5,550.4425048828125,550.4425048828125
A_12,fret12,A,low,5,stabilization,661.4727412210318,109.784415820448,33.130604693843246,14.800979759127962,2.194992511919396,tonal_harmonic,0.0035000000000000005,6,660.8001708984375,662.14599609375
A_12,fret12,A,low,5,stabilization,771.8304561757442,109.784415820448,21.28026497696854,16.75294007345383,2.194992511919396,tonal_harmonic,0.0035000000000000005,7,771.1578369140625,772.503662109375
A_12,fret12,A,low,5,body,550.7788584155044,109.784415820448,24.62695391515438,11.719103283620264,2.194992511919396,tonal_harmonic,0.010000000000000002,5,550.4425048828125,551.1154174804688
A_12,fret12,A,low,5,body,771.4936329189558,109.784415820448,38.73865159495071,12.753588342320086,2.194992511919396,tonal_harmonic,0.010000000000000002,7,770.4849243164062,772.503662109375
A_12,fret12,A,low,6,attack,551.115006666764,109.7888950471169,5.514344798634781,13.05674764332273,2.1220255460341706,tonal_harmonic,0.015193492391306131,5,550.4425048828125,551.788330078125
A_12,fret12,A,low,6,attack,660.1241715385293,109.7888950471169,24.795285109536493,16.42032783418142,2.1220255460341706,tonal_harmonic,0.002,6,658.1085205078125,662.14599609375
A_12,fret12,A,low,6,attack,768.4555801220833,109.7888950471169,21.98923897436734,16.42329945141168,2.1220255460341706,tonal_harmonic,0.002,7,764.4287109375,772.503662109375
A_12,fret12,A,low,6,attack,1102.901900023984,109.7888950471169,32.99989744534385,16.077266302112562,2.1220255460341706,tonal_harmonic,0.002,10,1100.885009765625,1104.9224853515625
A_12,fret12,A,low,6,attack,1213.2597340906993,109.7888950471169,35.01182842870456,20.16470875351405,2.1220255460341706,tonal_harmonic,0.002,11,1211.24267578125,1215.2801513671875
A_12,fret12,A,low,6,attack,1323.6175401346072,109.7888950471169,20.53142794869163,17.922147652901984,2.1220255460341706,tonal_harmonic,0.002,12,1321.600341796875,1325.6378173828125
