requested_frequency_hz,measured_grid_hz,central_db,robust_db,safe_db,parametric_db,ci95_low_db,ci95_high_db,effective_pairs,strings,families,support_state,origin
61.74,61.717352110119606,-0.4620252702086815,-0.4597559918876909,-0.3028958931732802,-0.3342659367335432,-0.611292101362593,0.0234838661403956,3,2,2,Medido con incertidumbre,Measured/interpolated
65.0,65.03062197259,-0.5436151809495636,-0.5395095761640978,-0.4221723098420477,-0.5415043357363017,-0.7253306855970355,0.011214402299546,4,3,3,Medido con incertidumbre,Measured/interpolated
70.0,70.0410003153794,-0.6595219686500323,-0.6526554573354983,-0.4484749386820219,-0.8726038840006693,-0.8537713178651228,-0.0064625357523312,3,3,2,Medido con incertidumbre,Measured/interpolated
75.0,75.05661428740355,-0.7752203621006557,-0.7626694029506398,-0.4418756063973738,-1.196477877918831,-1.0297047832184691,-0.029317110210384,2,2,2,Medido con incertidumbre,Measured/interpolated
80.0,80.02538972850088,-0.88259433672925,-0.864775245926451,-0.60016414897589,-1.4901334921933933,-1.2025291405029168,-0.0497575807820334,3,2,2,Medido con incertidumbre,Measured/interpolated
100.0,99.98413519586587,-1.421880267797071,-1.445470921857703,-0.8104717526443306,-2.287601672700619,-1.8665111766301157,-0.1720695480088031,2,2,2,Medido con incertidumbre,Measured/interpolated
120.0,119.9642860420341,-2.0508944292002385,-2.1997485893979865,-1.8458049862802144,-2.5269168822114088,-2.516975295770373,-0.4281742127766052,5,3,2,Medido robustamente,Measured/interpolated
160.0,160.07617522866713,-2.731849978876741,-2.855180849417721,-2.458664980989067,-2.0730371552392945,-3.085365151275647,-0.5166939256671333,7,5,3,Medido robustamente,Measured/interpolated
200.0,200.00000000000003,-2.050384129614393,-2.0657574722392686,-1.7726342735623684,-1.3971761592094292,-2.710268919463413,0.0902856838654561,6,5,3,Medido robustamente,Measured/interpolated
250.0,249.88103284489677,-0.82447054718896,-0.7388688267765724,-0.3646427410334224,-0.9203282193089536,-1.450734369085258,1.033883148742483,9,6,3,Medido robustamente,Measured/interpolated
315.0,314.8470240858939,-0.3936051175146877,-0.3335090538310975,-0.1840019658467358,-0.868985784284736,-1.068028083923835,1.6482094677075447,5,4,2,Medido robustamente,Measured/interpolated
400.0,400.0634692858142,-0.8609693492946,-0.7979491545276642,-0.3492437007781163,-1.202117220782968,-1.3550920572174072,1.90471663720938,3,3,2,Medido con incertidumbre,Measured/interpolated
500.0,499.8413645432593,-1.68278338897336,-1.7430869092684245,-0.7686586590251187,-1.52608644688093,-2.340270850958721,1.579314464900337,5,3,3,Medido robustamente,Measured/interpolated
630.0,629.793963750585,-1.29342224629459,-1.2603732047087708,-0.5400827510380031,-1.3572243239057589,-1.956358409641609,1.2914359880016577,3,3,2,Medido con incertidumbre,Measured/interpolated
800.0,800.2538972850089,-0.1334378403958931,-0.105117794282941,-0.0511279433804524,-0.208738386648385,-0.8504127059045252,0.9595335565004348,6,5,2,Medido robustamente,Measured/interpolated
1000.0,999.8413519586594,1.3262019250572403,1.3214511457895917,0.9498071515011148,1.5638122574285798,-0.3367337035184088,1.678384412180372,5,4,2,Medido robustamente,Measured/interpolated
1250.0,1249.2069485423372,2.837194722095844,2.8509977127622497,2.12975315006741,3.200519420856084,-0.1440220444925689,3.077174432219611,4,3,2,Medido con incertidumbre,Measured/interpolated
1600.0,1600.761752286671,4.0603143607629,4.167152706227405,3.5054796612567127,3.931157067740516,-0.1445534278911395,4.194233102717778,5,3,3,Medido robustamente,Measured/interpolated
2000.0,2000.0,3.93658679112182,3.912958147398326,3.395505973189576,3.611253468001245,-0.1451059898858785,4.117107002248755,5,3,3,Medido robustamente,Measured/interpolated
2500.0,2498.810328448967,3.3961035551896743,3.3318957265244906,2.554601592179504,2.952219839071413,-0.1687387358901247,3.7611775970141688,4,3,2,Medido con incertidumbre,Measured/interpolated
3150.0,3148.470240858939,2.3578346088945645,2.310619513958261,2.0566824680783413,2.26647054484071,-0.0823334617756072,3.1843923532220346,5,3,3,Medido robustamente,Measured/interpolated
4000.0,4000.6346928581424,0.9227550339669496,0.904841599274474,0.6218893612076409,1.5203047506713965,-0.0198954478636053,2.1499752521012385,3,2,2,Medido con incertidumbre,Measured/interpolated
5000.0,4998.4136454325935,0.066593680571394,0.0653869018954352,0.0372527752513705,0.8398853851444761,-0.0296648382848965,1.2021775729713726,2,2,2,Medido con incertidumbre,Measured/interpolated
6300.0,6297.93963750585,-0.0488698299534917,-0.0479065607181201,-0.0215419498422049,0.3365222682922307,-0.0484962009142181,0.507265722912928,1,1,1,Inferido localmente,Local inference
8000.0,8002.538972850089,-0.0061645335899707,-0.0060481490976135,-0.0023314198278388,0.0913292214502473,-0.0069659989589437,0.1362346920731785,1,1,1,Inferido localmente,Local inference
10000.0,9998.413519586597,0.002466482155901,0.0024181486830472,0.0004355306674111,0.0193743527503485,-0.0016033849069656,0.0146918953631044,1,1,1,Inferido localmente,Local inference
12500.0,12492.069485423372,0.000330702219856,0.0003255558773915,0.0,0.0029526215932679,-0.0018241765760468,0.0003399118522115,3,2,2,Medido con incertidumbre,Measured/interpolated
16000.0,16007.617522866729,-2.6736669375059077e-05,-2.6104562128483155e-05,-0.0,0.0002456254679457,-2.8806986367898568e-05,0.0001023045970443,1,1,1,Inferido localmente,Local inference
20000.0,20000.0,3.1805217607957744e-06,3.103433458086059e-06,0.0,1.8510777511765e-05,-1.1695839320816128e-05,3.4171295213918304e-06,0,0,0,No identificado,Regularized/not identified
