pair,event,ioi_cafe_s,ioi_azul_s,nominal_period_s,silence_cafe_s,overlap_cafe_s,classification
E_open,56,0.5921088435374173,0.5950113378684847,0.6,0.0641088435374173,0.0,clean
E_open,57,0.5950113378684776,0.5950113378684776,0.6,0.06701133786847757,0.0,clean
E_open,58,0.5630839002267578,0.5950113378684776,0.6,0.03508390022675778,0.0,clean
E_open,59,0.6008163265306123,0.6298412698412719,0.6,0.07281632653061232,0.0,clean
E_open,60,0.5950113378684776,0.5456689342403607,0.6,0.06701133786847757,0.0,clean
E_open,61,0.5282539682539706,0.597913832199545,0.6,0.0002539682539706156,0.0,clean
E_open,62,0.6675736961451264,0.6153287981859421,0.6,0.13957369614512638,0.0,clean
E_open,63,0.5630839002267578,0.597913832199545,0.6,0.03508390022675778,0.0,clean
E_open,64,0.6327437641723321,0.6501587301587293,0.6,0.10474376417233211,0.0,clean
E_open,65,0.5746938775510202,0.5921088435374173,0.6,0.04669387755102017,0.0,clean
E_open,66,0.58920634920635,0.5863038548752826,0.6,0.06120634920634993,0.0,clean
E_open,67,0.6095238095238074,0.5804988662131549,0.6,0.08152380952380733,0.0,clean
E_open,68,0.5804988662131549,0.597913832199545,0.6,0.052498866213154916,0.0,clean
E_open,69,0.6008163265306123,0.6124263038548747,0.6,0.07281632653061232,0.0,clean
E_open,70,0.5921088435374102,0.6240362811791371,0.6,0.0641088435374102,0.0,clean
E_open,71,0.5834013605442223,0.6124263038548747,0.6,0.05540136054422229,0.0,clean
E_open,72,0.539863945578233,0.5921088435374173,0.6,0.011863945578233004,0.0,clean
E_open,73,0.6501587301587293,0.58920634920635,0.6,0.12215873015872925,0.0,clean
E_open,74,0.6240362811791371,0.5804988662131549,0.6,0.0960362811791371,0.0,clean
E_open,75,0.5166439909297011,0.5746938775510202,0.6,0.0,0.011356009070298878,clean
E_open,76,0.6327437641723392,0.5775963718820805,0.6,0.10474376417233922,0.0,clean
E_open,77,0.6269387755102045,0.6124263038548747,0.6,0.09893877551020447,0.0,clean
E_open,78,0.6240362811791371,0.6008163265306123,0.6,0.0960362811791371,0.0,clean
E_open,79,0.5630839002267578,0.6182312925170095,0.6,0.03508390022675778,0.0,clean
E_open,80,0.6385487528344669,0.5834013605442152,0.6,0.11054875283446686,0.0,clean
E_open,81,0.5834013605442152,0.6182312925170095,0.6,0.055401360544215184,0.0,clean
E_open,82,0.5863038548752826,0.60662131519274,0.6,0.05830385487528256,0.0,clean
E_open,83,0.6037188208616797,0.5950113378684776,0.6,0.07571882086167969,0.0,clean
E_open,84,0.6095238095238145,0.5804988662131549,0.6,0.08152380952381444,0.0,clean
E_open,85,0.5863038548752826,0.6240362811791371,0.6,0.05830385487528256,0.0,clean
E_open,86,0.6095238095238074,0.6037188208616797,0.6,0.08152380952380733,0.0,clean
E_open,87,0.6240362811791371,0.5630839002267578,0.6,0.0960362811791371,0.0,clean
E_open,88,0.5863038548752826,0.6182312925170095,0.6,0.05830385487528256,0.0,clean
E_open,89,0.5863038548752826,0.597913832199545,0.6,0.05830385487528256,0.0,clean
E_open,90,0.5834013605442223,0.5950113378684776,0.6,0.05540136054422229,0.0,clean
A_open,0,0.6153287981859412,0.5921088435374147,0.6,0.08732879818594119,0.0,clean
A_open,1,0.6211337868480724,0.5979138321995467,0.6,0.09313378684807239,0.0,clean
A_open,2,0.6240362811791385,0.6095238095238091,0.6,0.09603628117913843,0.0,clean
A_open,3,0.5921088435374147,0.5863038548752835,0.6,0.06410884353741464,0.0,clean
A_open,4,0.5746938775510202,0.5775963718820858,0.6,0.04669387755102017,0.0,clean
