model,pair,mae,rmse,p75,p90,p95,improved
V10_2_PARAMETRIC,A_open,5.220465893980445,6.648125113627923,7.834917872153013,10.679616916497976,13.400264280713616,
V10_2_PARAMETRIC,B_12,2.9237568346336245,4.174234593259008,3.817510781338944,5.604922361764788,6.953161144311273,
V10_2_PARAMETRIC,B_open,6.432166648313269,8.216151141739637,9.187529054658134,13.294405444888278,16.221603558840197,
V10_2_PARAMETRIC,C_12,4.876147033962692,6.248957512521849,7.321597535889173,10.190579742906143,11.63945450521654,
V10_2_PARAMETRIC,C_24,1.392938526065809,1.8641893614484089,2.0019527699417763,2.81885291794142,3.618887246948327,
V10_2_PARAMETRIC,C_chromatic,8.076102805631521,14.45720165494279,8.131999163088192,22.603249001494238,38.335328116794216,
V10_2_PARAMETRIC,C_open,2.478839585851461,3.250284280474853,3.3459694220418856,5.37451581908751,6.45660881518744,
V10_2_PARAMETRIC,D_12,2.687937054522802,5.605831763054519,2.411688941060799,5.059080760389807,11.844888359684363,
V10_2_PARAMETRIC,D_open,3.59319211028376,4.421234689470467,5.049099108606754,7.2968748839925155,8.741981253151799,
V10_2_PARAMETRIC,E_12,3.0545080612901416,4.748430403627397,3.5435015950745994,6.020589836049248,7.029065079117915,
V10_2_PARAMETRIC,E_open,4.709998624299858,6.066694049004094,6.903935545473897,9.86592640229972,12.2063966633264,
V10_2_PARAMETRIC,G_12,3.382196447183744,5.768962111821398,3.3951691067228458,6.217499034399632,12.50490393854847,
V10_2_PARAMETRIC,G_open,3.695481381990502,4.512197291000561,5.626261585340872,7.198295775156335,8.44931395361152,
V10_2_NO_SUB,A_12,2.240839522210193,4.277973110165672,2.856860689330766,3.6529431380314055,4.21561478601924,
V10_2_NO_SUB,A_open,5.214040854615224,6.64547668842263,7.893661685217123,10.739856616920012,13.398357673440438,
V10_2_NO_SUB,B_12,2.9563958620226924,4.1889629270602855,3.905823617463071,5.390085571247428,7.200581142666327,
V10_2_NO_SUB,B_open,6.515936506788324,8.321611566938312,9.319231580402397,13.566609863809962,16.509715016816354,
V10_2_NO_SUB,C_12,4.856159208422422,6.234138273085818,7.350599539424442,10.22407971581538,11.73085731121185,
V10_2_NO_SUB,C_24,1.477384452812721,1.928880237597204,2.113072434375106,2.995106441859431,3.724954292545567,
V10_2_NO_SUB,C_chromatic,8.060064282668431,14.417633191414332,7.900583858427447,22.471036169731832,37.52201301239333,
V10_2_NO_SUB,C_open,2.509758721121828,3.278639105908673,3.421248284559727,5.432343806555082,6.479592252247883,
V10_2_NO_SUB,D_12,2.811745985463325,5.592887544778383,2.886271006754398,4.705012192701194,11.755587156483037,
V10_2_NO_SUB,D_open,3.4844207943331,4.364572257118597,4.939757141610436,7.549978146490718,8.872096774300939,
V10_2_NO_SUB,E_12,3.061970283442452,4.855901435014691,3.829453784312409,5.971876298675137,7.710727288588667,
V10_2_NO_SUB,E_open,4.808889402625525,6.182671079321287,7.051450583354455,10.00425657489741,12.336645982362349,
V10_2_NO_SUB,G_12,2.8638777149821397,5.411284695439761,2.726752898481779,5.55986855521785,11.900212849244664,
V10_2_NO_SUB,G_open,3.370088682626868,4.091496447488883,4.922293672174127,6.6946513383556265,7.726432730598706,
V10_2_NO_HIGH,A_12,2.240839522210193,4.277973110165672,2.856860689330766,3.6529431380314055,4.21561478601924,
V10_2_NO_HIGH,A_open,5.16087111159794,6.595296614550445,7.727520164538524,10.476102110585355,13.399060586040632,
V10_2_NO_HIGH,B_12,2.900795971844064,4.1623855864639685,3.7224844827894414,5.730328858861167,6.778127759855627,
V10_2_NO_HIGH,B_open,6.527719396666478,8.333308895768166,9.342517193823875,13.606207416420494,16.511283976128173,
V10_2_NO_HIGH,C_12,4.856159203108417,6.234138257470281,7.350599539424442,10.22407971581538,11.73085731121185,
V10_2_NO_HIGH,C_24,1.477384452812721,1.928880237597204,2.113072434375106,2.995106441859431,3.724954292545567,
V10_2_NO_HIGH,C_chromatic,8.06069850070108,14.419173713172755,7.90071893101338,22.471036169731832,37.53714196328812,
V10_2_NO_HIGH,C_open,2.509758721121828,3.278639105908673,3.421248284559727,5.432343806555082,6.479592252247883,
V10_2_NO_HIGH,D_12,2.811745985463325,5.592887544778383,2.886271006754398,4.705012192701194,11.755587156483037,
V10_2_NO_HIGH,D_open,3.5282209889437866,4.3918154484504335,4.9227531692175575,7.428230598224712,8.920014954677304,
V10_2_NO_HIGH,E_12,3.061970283442452,4.855901435014691,3.829453784312409,5.971876298675137,7.710727288588667,
V10_2_NO_HIGH,E_open,4.80287700738337,6.173690161872295,7.031026816582629,10.026427749200474,12.290807677542448,
V10_2_NO_HIGH,G_12,2.8638781368188515,5.4112850112419295,2.726752898481779,5.559971347044194,11.900212849244664,
V10_2_NO_HIGH,G_open,3.370088682626868,4.091496447488883,4.922293672174127,6.6946513383556265,7.726432730598706,
V9,A_12,1.9798773596162695,2.662435922845664,2.419007696558204,3.765015203953858,4.891200144866855,
V9,A_open,4.283572784365263,5.557695017325692,5.727290716698579,9.386251626771102,12.021948750959675,
V9,B_12,2.552496527184754,3.543378642694309,3.5220269574297305,5.811465441631708,6.369982926031683,
