pair,event,phase,start_cafe,end_cafe,start_azul,end_azul,duration_cafe_ms,duration_azul_ms,cycles_cafe,cycles_azul,resolution_hz_cafe
G_open,50,sustain,34.91773242630386,35.08773242630386,40.275736961451244,40.445736961451246,170.0,170.02267573696145,16.645337757729884,16.645258927344532,1.3458251953125
G_open,50,decay,35.037732426303855,35.15773242630386,40.39573696145124,40.515736961451246,120.0,120.02267573696145,11.749650181926976,11.750247466315631,1.3458251953125
G_open,51,attack,35.24208616780045,35.317086167800454,40.54784580498866,40.622845804988664,74.98866213151928,74.98866213151928,7.345973595268032,7.344884241563587,2.691650390625
G_open,51,stabilization,35.317086167800454,35.39708616780045,40.622845804988664,40.70284580498866,80.0,80.0,7.8368898833098335,7.835727730340593,2.691650390625
G_open,51,body,35.39708616780045,35.56208616780045,40.70284580498866,40.86784580498866,165.01133786848072,165.01133786848072,16.164696054661466,16.162298949458187,1.3458251953125
G_open,51,sustain,35.56208616780045,35.73208616780045,40.86784580498866,41.03784580498866,170.0,170.0,16.653391002033395,16.65092142697376,1.3458251953125
G_open,51,decay,35.68208616780045,35.802086167800454,40.98784580498866,41.10784580498866,120.02267573696145,120.02267573696145,11.757556165634622,11.755812606772322,1.3458251953125
G_open,52,attack,35.837097505668936,35.91209750566894,42.3415873015873,42.416587301587306,74.98866213151928,74.98866213151928,7.344201978691716,7.343333134051255,2.691650390625
G_open,52,stabilization,35.91209750566894,35.99209750566894,42.416587301587306,42.496587301587304,80.0,80.0,7.834999873245956,7.834072965507357,2.691650390625
G_open,52,body,35.99209750566894,36.157097505668936,42.496587301587304,42.6615873015873,165.01133786848072,165.01133786848072,16.160797641046152,16.158885762470813,1.3458251953125
G_open,52,sustain,36.157097505668936,36.32709750566894,42.6615873015873,42.831587301587305,170.0,170.0,16.649374730647658,16.64740505170313,1.3458251953125
G_open,52,decay,36.277097505668934,36.385278911564626,42.7815873015873,42.901587301587305,108.16326530612245,120.0,10.593239624541726,11.751109448261033,1.3458251953125
G_open,53,attack,36.39727891156463,36.47227891156463,42.94820861678004,43.023208616780046,74.98866213151928,74.98866213151928,7.342483039475649,7.345000824097448,2.691650390625
G_open,53,stabilization,36.47227891156463,36.55227891156463,43.023208616780046,43.103208616780044,80.0,80.0,7.833166060861836,7.835852103845116,2.691650390625
G_open,53,body,36.55227891156463,36.71727891156463,43.103208616780044,43.26820861678004,165.01133786848072,165.01133786848072,16.15701514310986,16.1625554874379,1.3458251953125
G_open,53,sustain,36.71727891156463,36.88727891156463,43.26820861678004,43.438208616780045,170.0,170.0,16.645477879331402,16.65118572067087,1.3458251953125
G_open,53,decay,36.837278911564624,36.95727891156463,43.38820861678004,43.508208616780045,120.0,120.02267573696145,11.749749091292754,11.75599920228237,1.3458251953125
G_open,54,attack,37.03002267573696,37.10502267573696,43.54321995464853,43.61821995464853,75.01133786848072,74.98866213151928,7.344143568319595,7.340680919022787,2.691650390625
G_open,54,stabilization,37.10502267573696,37.18502267573696,43.61821995464853,43.69821995464853,80.0,80.0,7.832569077699978,7.831243508410158,2.691650390625
G_open,54,body,37.18502267573696,37.35002267573696,43.69821995464853,43.86321995464853,165.01133786848072,165.01133786848072,16.15578378073207,16.153049606207688,1.3458251953125
G_open,54,sustain,37.35002267573696,37.52002267573696,43.86321995464853,44.03321995464853,170.0,170.0,16.644209290112453,16.641392455371584,1.3458251953125
G_open,54,decay,37.470022675736956,37.59002267573696,43.983219954648526,44.10321995464853,120.02267573696145,120.0,11.751073732501697,11.746865262615238,1.3458251953125
G_open,55,attack,37.636643990929706,37.71164399092971,44.152743764172335,44.22774376417234,74.98866213151928,74.98866213151928,7.342199231617155,7.340782287077802,2.691650390625
G_open,55,stabilization,37.71164399092971,37.79164399092971,44.22774376417234,44.307743764172336,80.0,80.0,7.832863286708594,7.831351650683546,2.691650390625
G_open,55,body,37.79164399092971,37.956643990929706,44.307743764172336,44.472743764172336,165.01133786848072,165.01133786848072,16.15639062850863,16.153272664972835,1.3458251953125
G_open,55,sustain,37.956643990929706,38.12664399092971,44.472743764172336,44.64274376417234,170.0,170.0,16.64483448425576,16.641622257702537,1.3458251953125
G_open,55,decay,38.0766439909297,38.18192290249433,44.59274376417233,44.71274376417234,105.26077097505669,120.0,10.306165356264538,11.747027476025318,1.3458251953125
G_open,56,attack,38.86439909297052,38.939399092970525,44.741950113378685,44.81695011337869,74.98866213151928,74.98866213151928,7.3455977642146095,7.3420600417666,2.691650390625
G_open,56,stabilization,38.939399092970525,39.019399092970524,44.81695011337869,44.896950113378686,80.0,80.0,7.836488936241047,7.8327147950869564,2.691650390625
G_open,56,body,39.019399092970524,39.18439909297052,44.896950113378686,45.061950113378686,165.01133786848072,165.01133786848072,16.16386904450853,16.156084343494268,1.3458251953125
G_open,56,sustain,39.18439909297052,39.354399092970525,45.061950113378686,45.23195011337869,170.0,170.0,16.652538989512223,16.64451893955978,1.3458251953125
G_open,56,decay,39.30439909297052,39.424399092970525,45.18195011337868,45.30195011337869,120.0,120.0,11.75473340436157,11.749072192630434,1.3458251953125
G_open,57,attack,39.465215419501135,39.54021541950114,45.35727891156463,45.43227891156463,74.98866213151928,74.98866213151928,7.343135326874533,7.339094778756852,2.691650390625
G_open,57,stabilization,39.54021541950114,39.620215419501136,45.43227891156463,45.51227891156463,80.0,80.0,7.833861939284352,7.8295513696565395,2.691650390625
G_open,57,body,39.620215419501136,39.785215419501135,45.51227891156463,45.67727891156463,165.01133786848072,165.01133786848072,16.158450490978524,16.149559330212764,1.3458251953125
G_open,57,sustain,39.785215419501135,39.95521541950114,45.67727891156463,45.84727891156463,170.0,170.0,16.64695662097925,16.637796660520145,1.3458251953125
G_open,57,decay,39.90521541950113,40.02521541950114,45.797278911564625,45.91727891156463,120.0,120.0,11.75079290892653,11.744327054484808,1.3458251953125
G_open,58,attack,40.071836734693875,40.14683673469388,45.952290249433105,46.02729024943311,75.01133786848072,74.98866213151928,7.344777775246217,7.341408335006669,2.691650390625
G_open,58,stabilization,40.14683673469388,40.226836734693876,46.02729024943311,46.107290249433106,80.0,80.0,7.833245462838166,7.832019536106297,2.691650390625
G_open,58,body,40.226836734693876,40.391836734693875,46.107290249433106,46.272290249433105,165.01133786848072,165.01133786848072,16.157178920939156,16.154650273312225,1.3458251953125
G_open,58,sustain,40.391836734693875,40.56183673469388,46.272290249433105,46.44229024943311,170.0,170.0,16.645646608531102,16.64304151422588,1.3458251953125
G_open,58,decay,40.51183673469387,40.60550566893424,46.3922902494331,46.51229024943311,93.6734693877551,120.02267573696145,9.172090988374281,11.750249264345417,1.3458251953125
G_open,59,attack,40.61750566893424,40.692505668934245,47.069750566893426,47.14475056689343,74.98866213151928,74.98866213151928,7.343149826873116,7.343353249877075,2.691650390625
G_open,59,stabilization,40.692505668934245,40.772505668934244,47.14475056689343,47.22475056689343,80.0,80.0,7.833877408287981,7.834094425632391,2.691650390625
